@title,中文(繁體)
#01770,雪龍
#01771,竟然有辦法來到這裡！<br>就讓我來誇死你吧！！
#01772,沼蛙
#01773,呱……呱呱<br>呱呱，呱～呱呱！
#01774,寄居卡諾夫
#01775,感覺不像第一次和你見面呢。<br>難道我們前世是男女朋友……應該不會吧！
#01776,半魚人
#01777,我要把你拖進沼澤，<br>來場精心準備的派對！
#01778,蓮魚
#01779,（偷瞄一眼）<br>還沒辦發現嗎！？
#01780,骷顱妹
#01781,呵呵，哎呀你們的骷顱頭<br>看起來好像不錯嘛～！
#01782,肚肚傑克森
#01783,這、這一天終於到了！<br>我好緊張啊！
#01784,小史萊姆
#01785,你好。我一直被人家當成雜魚……<br>我來洗刷這個汙名了！
#01786,水滴君
#01787,這個身體是用了好多<br>富士山腳的純水做成的喔。
#01788,小龜邊
#01789,哎呀哎呀，你要從哪個方向上都行。<br>我沒關係，完全沒關係啦。
#01790,大臭花
#01791,來吧，把臉靠到花的正中央！<br>我來讓你變得香噴噴！
#01792,肚肚蝌蚪
#01793,蹦蹦～<br>我要用這肚子把你彈飛。
#01794,骷髏蟲
#01795,哇！是活人！<br>嚇我一跳！！
#01796,怪鳥薩沙
#01797,我要戳你<br>最痛的地方！
#01798,牛史萊姆
#01799,冰冰涼涼QQ彈彈<br>又濕濕黏黏的喔～！！
#01800,大肚肚蛙
#01801,打肚子的話會爆炸喔！<br>……騙你的呱！
#01802,小火苗
#01803,大家也要小心別玩火哦，<br>一失足成千古恨！
#01804,火山瑚
#01805,啊～～<br>好想噴火～～～
#01806,寶箱怪
#01807,痛死我了……沒辦法從寶箱裡出來……<br>我要發飆了喔！
#01808,瓦斯介
#01809,煙霧瀰漫煙霧瀰漫<br>煙太多了看不到前面！！！
#01810,骨頭船長
#01811,我是從海賊船上下來的。<br>贏了之後還要再回船上！
#01812,積火
#01813,要不要～來點～<br>熱騰騰的岩漿啊～
#01814,岩漿蝙蝠
#01815,前幾天在天上飛的時候，<br>不小心害森林全部燒掉了www。
#01816,火蠑螈
#01817,哇！<br>第一次看到真正的人類耶！好想把你做成標本！
#01818,岩漿魚
#01819,啊哩？！<br>不小心從岩漿裡跑出來了！
#01820,熱騰騰魔人
#01821,轟轟轟轟轟轟，<br>我這次也受邀而來了～！
#01822,黑煙
#01823,噴噴……<br>唉唷……又跑出來了。
#01824,火炎魔手
#01825,好想一把<br>抓住你的心！
#01826,烈火龍
#01827,用火炎吐息把你燒成黑炭！
#01828,火山衛門
#01829,接受我憤怒的噴火吧！
#01830,火焰龍
#01831,敵對……者……全部……殲滅。
#01832,幽靈
#01833,好恨啊～<br>炒飯啊～牛肉飯啊～
#01834,宇佐美兔男
#01835,唷！終於見面了！<br>來啦！一決勝負吧！
#01836,阿布法拉國王
#01837,哎呀，你好。<br>大家都是國王，就快快樂樂打一場吧！
#01838,章魚星人
#01839,我來自火星。<br>我是住在火星的章魚星人。
#01840,貓熊隆史
#01841,你以為我是隻貓熊的話……<br>可是會倒大楣的！
#01842,裏飯廣志
#01843,哎呀，看你臉色不太好呢！<br>再慘白一點應該會更好喔！
#01844,有田馬鹿子
#01845,哎呀。<br>我沒什麼想說的。
#01846,蓮介
#01847,汪汪！<br>我今年16歲！
#01848,佩太郎
#01849,前幾天我第一次吃了鮪魚，<br>所以很有精神！
#01850,QQ豬肉
#01851,噗～<b>噗～
#01852,=#00248
#01853,哎呀，沒想到會在這種地方<br>遇見開羅玩家！
#01854,森野大熊
#01855,你好。我還以為這次沒有出場機會，<br>害我緊張了一下。
#01856,=#00250
#01857,哼哼，是時候讓我的邪惡<br>更進一步了。
#01858,鴨田倫子
#01859,只把我當隻鴨子的話，<br>可是會很慘的嘎——！
#01860,開羅姬
#01861,哎呀，我還以為是金塊……<br>呵呵，原來是個人啊。
#01862,=#00263
#01863,唷，你好。我是開羅君。<br>用我這努力鍛鍊的肉體……一決勝負吧！
#01864,赤井英雄
#01865,唷！記得要玩！<br>出發英雄基地喔！
#01866,佩·片片
#01867,你好。我從百萬進行曲<br>來玩了！
#01868,小荒田部長
#01869,我常被當成無尾熊，<br>這悔恨讓我變強了。
#01870,七色摔跤手
#01871,雞
#01872,豬
#01873,牛
#01874,嚇人魚
#01875,泰塔爾魚
#01876,金屬柏克
#01877,哇喝！<br>被發現了！
#01878,寶物袋
#01879,被塞在袋子裡<br>究竟是美夢還是惡夢呢！給我好好看清楚！
#01880,劍士開羅君
#01881,沒有我的劍斬不斷的東西！<br>上吧！
#01882,魔導士開羅君
#01883,終於是時候解放<br>這代代相傳的魔法了！
#01884,夏威夷開羅君
#01885,阿囉～哈～<br>有沒有遇見一陣好浪啊～
#01886,開羅司令
#01887,我還在打電動耶……<br>快點打倒你繼續玩吧！
#01888,魔道歪羅君
#01889,哼哼……既然不能用金錢解決，<br>那就讓我幹掉你吧。
#01890,戰士歪羅君
#01891,魔王歪羅君
#01892,歪羅坦克
#01893,歪羅大魔王
#01894,哈哈哈！我等好久啦！<br>……害我都燃燒成這樣了！
#01895,雞屁股魔人
#01896,我來把你也弄得……<br>像烤雞一樣吧！！
#01897,禮物子
#01898,聖誕<br>快樂～
#01899,海豹
#01900,浣熊
#01901,犰狳
#01902,鼬鼠
#01903,野豬
#01904,水豚
#01905,龜
#01906,狐狸
#01907,熊
#01908,犀牛
#01909,斑馬
#01910,象
#01911,狸貓
#01912,鶴
#01913,貘
#01914,倉鼠
#01915,刺蝟
#01916,河狸
#01917,貓頭鷹
#01918,飛鼠
#01919,豚鼠
#01920,山羊
#01921,鱷魚
#01922,西園寺
#01923,道明寺
#01924,神宮寺
#01925,豪德寺
#01926,國分寺
#01927,金剛院
#01928,吉祥寺
#01929,佐久間
#01930,坂本
#01931,本田
#01932,武藏
#01933,間瀨
#01934,東鄉
#01935,越前
#01936,飛驒
#01937,肥後
#01938,肥前
#01939,陸奧
#01940,三河
#01941,丹波
#01942,因幡
#01943,出雲
#01944,石見
#01945,岩城
#01946,陸前
#01947,佐渡
#01948,能登
#01949,阿波
#01950,佐藤
#01951,鈴木
#01952,山本
#01953,島
#01954,小
#01955,伊集
#01956,綾野
#01957,小豆
#01958,我孫
#01959,山
#01960,田
#01961,=#00894
#01962,院
#01963,佐助
#01964,保次郎
#01965,麵包太郎
#01966,龍馬
#01967,齊藤
#01968,信長
#01969,吉田
#01970,茂雄
#01971,阿秀
#01972,雷歐
#01973,閃助
#01974,悟
#01975,聰史
#01976,悠人
#01977,晴人
#01978,諾特
#01979,春藏
#01980,番茄
#01981,俊治
#01982,誠次郎
#01983,蜜瓜
#01984,瑪琳
#01985,梅亞莉
#01986,米米卡子
#01987,朱蒂姆
#01988,良子
#01989,茂美
#01990,瑪莉
#01991,十和子
#01992,瑪莉蓮
#01993,右子
#01994,左子
#01995,遙香
#01996,鈴子
#01997,麵包子
#01998,梁子
#01999,透美
#02000,梅莉子
#02001,秀
#02002,瞬
#02003,晴
#02004,真子
#02005,秋
#02006,夏
#02007,冬
#02008,北
#02009,東
#02010,南
#02011,西
#02012,鐵
#02013,銀
#02014,炸
#02015,烏冬
#02016,男
#02017,雄
#02018,彥
#02019,郎
#02020,太
#02021,子
#02022,美
#02023,子
#02024,實
#02025,=#00351
#02026,<po=m>擁有道具<0> <1>以上<br>道具 <2> <3>以上
#02027,=#01131
#02028,=#01136
#02029,=#00352
#02030,=#00371
#02031,=#00372
#02032,=#00401
#02033,=#00402
#02034,=#00415
#02035,=#00416
#02036,=#00417
#02037,=#00425
#02038,=#00426
#02039,=#00427
#02040,=#00375
#02041,=#00376
#02042,=#00377
#02043,=#00486
#02044,=#00487
#02045,=#00431
#02046,=#00432
#02047,=#00379
#02048,=#00380
#02049,=#00381
#02050,=#00382
#02051,=#00420
#02052,=#00421
#02053,=#00422
#02054,=#00435
#02055,=#00436
#02056,=#00437
#02057,=#00385
#02058,=#00386
#02059,=#00387
#02060,=#00440
#02061,=#00441
#02062,=#00442
#02063,=#00391
#02064,=#00392
#02065,=#00404
#02066,=#00405
#02067,=#00406
#02068,=#00407
#02069,=#00445
#02070,=#00446
#02071,=#00447
#02072,=#00355
#02073,=#00356
#02074,=#00357
#02075,=#00450
#02076,=#00451
#02077,=#00452
#02078,=#00489
#02079,=#00490
#02080,=#00491
#02081,=#00492
#02082,=#00494
#02083,=#00495
#02084,=#00496
#02085,=#00497
#02086,=#00455
#02087,=#00456
#02088,=#00457
#02089,=#00460
#02090,=#00461
#02091,=#00462
#02092,=#00500
#02093,=#00501
#02094,=#00502
#02095,=#00465
#02096,=#00466
#02097,=#00467
#02098,=#00470
#02099,=#00471
#02100,=#00472
#02101,=#00360
#02102,=#00361
#02103,=#00362
#02104,=#00474
#02105,=#00475
#02106,=#00476
#02107,=#00477
#02108,=#00409
#02109,=#00410
#02110,=#00411
#02111,=#00412
#02112,=#00365
#02113,=#00366
#02114,=#00367
#02115,=#00479
#02116,=#00480
#02117,=#00481
#02118,=#00482
#02119,=#00396
#02120,=#00397
#02121,=#00516
#02122,=#01132
#02123,=#00517
#02124,=#00518
#02125,=#00519
#02126,=#00522
#02127,=#00523
#02128,=#00524
#02129,=#00525
#02130,=#00526
#02131,=#00527
#02132,=#00528
#02133,=#00529
#02134,=#00530
#02135,=#00531
#02136,=#00540
#02137,=#01133
#02138,=#00541
#02139,=#00543
#02140,=#00544
#02141,=#00545
#02142,=#00546
#02143,=#00547
#02144,=#00549
#02145,=#00550
#02146,=#00551
#02147,=#00554
#02148,=#00555
#02149,=#00556
#02150,=#00557
#02151,=#00558
#02152,=#00559
#02153,=#00560
#02154,=#00561
#02155,=#00582
#02156,=#01134
#02157,=#01137
#02158,=#00583
#02159,=#00584
#02160,=#00585
#02161,=#00586
#02162,=#00587
#02163,=#00588
#02164,=#00589
#02165,=#00590
#02166,=#00592
#02167,=#00593
#02168,=#00594
#02169,=#00595
#02170,=#00596
#02171,=#00597
#02172,=#00598
#02173,=#00599
#02174,=#00600
#02175,=#00603
#02176,=#01135
#02177,=#00604
#02178,=#00605
#02179,=#00606
#02180,=#00607
#02181,=#00608
#02182,=#00610
#02183,=#00611
#02184,=#00613
#02185,=#00614
#02186,=#00616
#02187,=#00617
#02188,=#00618
#02189,=#00619
#02190,=#00620
#02191,=#00621
#02192,=#00622
#02193,=#00623
#02194,=#00624
#02195,=#00625
#02196,=#00629
#02197,=#00630
#02198,=#00631
#02199,=#00632
#02200,=#00633
#02201,=#00634
#02202,=#00635
#02203,=#00636
#02204,=#00637
#02205,=#00638
#02206,=#00639
#02207,=#00640
#02208,=#01404
#02209,研究看看吧
#02210,=#01042
#02211,=#00904
#02212,=#01405
#02213,=#01043
#02214,=#01406
#02215,=#01044
#02216,=#01407
#02217,=#01045
#02218,=#01408
#02219,=#01409
#02220,=#01410
#02221,=#00340
#02222,=#01422
#02223,=#01423
#02224,=#01424
#02225,=#01426
#02226,=#01427
#02227,=#01428
#02228,=#01429
#02229,=#01430
#02230,=#01431
#02231,=#01432
#02232,=#01433
#02233,=#01434
#02234,=#01435
#02235,=#01436
#02236,=#01437
#02237,=#01438
#02238,=#01439
#02239,=#01440
#02240,=#01441
#02241,=#01442
#02242,=#01443
#02243,=#01444
#02244,=#01445
#02245,=#01448
#02246,=#01449
#02247,=#01450
#02248,=#01451
#02249,=#01452
#02250,=#01453
#02251,=#01454
#02252,=#01455
#02253,=#01456
#02254,=#01457
#02255,=#01458
#02256,=#01459
#02257,=#01460
#02258,=#01461
#02259,=#01462
#02260,=#01463
#02261,=#01464
#02262,=#01465
#02263,=#01466
#02264,=#01467
#02265,=#01468
#02266,=#01469
#02267,=#01470
#02268,=#01471
#02269,=#01472
#02270,=#01536
#02271,=#01538
#02272,=#01543
#02273,=#01561
#02274,=#01046
#02275,=#01562
#02276,=#01047
#02277,=#01476
#02278,=#01048
#02279,=#01477
#02280,=#01049
#02281,=#01478
#02282,=#01050
#02283,=#01479
#02284,=#01051
#02285,=#01501
#02286,=#01502
#02287,=#01503
#02288,=#01504
#02289,=#01505
#02290,=#01506
#02291,=#01507
#02292,=#01508
#02293,=#01509
#02294,=#01510
#02295,=#01511
#02296,=#01512
#02297,=#01513
#02298,=#01514
#02299,=#01515
#02300,=#01516
#02301,=#01517
#02302,=#01518
#02303,=#01519
#02304,=#01520
#02305,=#01521
#02306,=#01522
#02307,=#01523
#02308,=#01524
#02309,=#01525
#02310,=#01526
#02311,=#01527
#02312,=#01528
#02313,=#01529
#02314,=#01071
#02315,=#01531
#02316,=#01532
#02317,=#01533
#02318,=#01563
#02319,=#01564
#02320,=#01573
#02321,=#01566
#02322,=#01567
#02323,=#01568
#02324,=#00931
#02325,=#01052
#02326,=#00937
#02327,=#01053
#02328,=#00943
#02329,=#01054
#02330,=#00948
#02331,=#01055
#02332,=#00969
#02333,=#01056
#02334,=#00972
#02335,=#01057
#02336,=#00975
#02337,=#01058
#02338,=#00978
#02339,=#01059
#02340,=#00981
#02341,=#01060
#02342,=#00984
#02343,=#01061
#02344,=#00987
#02345,=#01062
#02346,=#00990
#02347,=#00993
#02348,=#00996
#02349,=#00999
#02350,=#01002
#02351,=#01005
#02352,=#01008
#02353,=#01031
#02354,=#01040
#02355,=#01034
#02356,=#01035
#02357,=#01036
#02358,=#01037
#02359,=#01603
#02360,=#01594
#02361,=#01606
#02362,=#01604
#02363,=#00001
#02364,普通攻擊
#02365,弓箭攻擊
#02366,槍砲攻擊
#02367,暴擊
#02368,弓箭亂射
#02369,裝備弓箭時進行亂射
#02370,炎魔法<0>
#02372,進行魔法攻擊
#02377,冰魔法<0>
#02378,雷魔法<0>
#02379,半反射
#02380,反射對手一半的攻擊
#02381,完全反射
#02382,把對手的攻擊全數奉還
#02383,<0>連擊
#02384,一次攻擊可以攻擊<0>次
#02385,反擊攻擊
#02386,對方攻擊時馬上進行反擊
#02387,格擋
#02388,減輕敵人的攻擊
#02389,完全閃避
#02390,發動時可以巧妙閃避攻擊
#02391,閃避UP
#02392,一段時間內更容易閃避
#02393,暴擊UP
#02394,一段時間內更容易暴擊
#02395,直線攻擊<0>
#02396,攻擊 <0>列直線
#02397,範圍攻擊<0>
#02398,攻擊周遭 <0>列敵人
#02399,多彈頭箭矢
#02400,裝備弓箭時進行範圍攻擊
#02401,<0>回復
#02402,=#01954
#02403,HP回復<0>%
#02404,中
#02405,大
#02406,復活<0>%
#02407,從重傷狀態恢復<0>%HP並復活
#02408,農活
#02409,可以善加利用田地等
#02410,建築工程
#02411,無論建築人數多寡都可進行建造
#02412,偷竊
#02413,攻擊時偶爾能讓寶箱出現
#02414,烹飪
#02415,能在餐館等設施中製作道具
#02416,搬運
#02417,能在城市之間移動資源
#02418,研究
#02419,能夠進行研究
#02420,研究<0>
#02421,研究時間減少 <0>%
#02422,酪農
#02423,能捕捉動物，運用牧場
#02424,寶箱解析
#02425,能取出城市裡的寶箱中的物品
#02426,製作
#02427,能在工坊製作賣給觀光客的商品
#02428,製作<0>
#02429,工坊的製作時間減少 <0> %
#02430,<0>立即完成
#02431,建造
#02432,讓建造立即完成
#02433,工坊
#02434,讓工坊活動立即完成
#02435,瞬間移動
#02436,偶爾會瞬間移動
#02437,拔草
#02438,開採自然工作會立即完成
#02439,寶箱解析會立即完成
#02440,移動速度UP
#02441,走路速度會提升
#02442,全力衝刺
#02443,時刻保持衝刺狀態
#02444,礦山
#02445,能夠在礦山活動
#02446,派遣範圍擴大<0>
#02447,使派遣範圍稍微擴張
#02448,使派遣範圍大幅擴張
#02449,雲攻擊擴大
#02450,消滅雲時的範圍擴大
#02451,經驗值UP<0>
#02452,戰鬥時獲得的經驗值稍微提升
#02453,戰鬥時獲得的經驗值提升
#02454,戰鬥時獲得的經驗值大幅提升
#02455,派遣費用減少<0>
#02456,派遣時所需能量稍微減少
#02457,派遣時所需能量大幅減少
#02458,<0>自動回復
#02459,HP
#02460,移動中會定期<0>
#02461,回復HP
#02462,MP
#02463,回復MP
#02464,活力
#02465,回復活力
#02466,施設<0>回復UP
#02467,使用施設時的HP回復量增加
#02468,使用施設時的活力回復量增加
#02469,使用施設時的MP回復量增加
#02470,毅力
#02471,重傷時消耗自身MP復活
#02472,克服<0>系武器
#02473,劍
#02474,克服<0>系武器的弱點
#02475,杖
#02476,=#00345
#02477,矛
#02478,槌
#02479,棒
#02480,槍
#02481,弓
#02482,書
#02483,克服盾裝備
#02484,盾
#02485,匿蹤
#02486,清除雲時敵人不會出現
#02487,直覺敏銳
#02488,挖掘地面時敵人不會出現
#02489,退怯
#02490,撿拾物品時不會進入戰鬥
#02491,好戰
#02492,派遣時不會撿拾物品
#02493,看家
#02494,速去速回
#02495,在派遣範圍內巡視1圈後返回
#02496,喜歡散步
#02497,喜歡自然
#02498,喜歡遠征
#02499,專心補助
#02500,敵人襲擊時不會進行戰鬥
#02501,整地活動
#02502,以在領地內收集資源為中心活動
#02503,喜歡田地
#02504,準備周詳
#02505,頭陣
#02506,頭目戰等時候會站在最前列
#02507,勇猛果敢
#02508,頭目戰等時候會在站在靠前的位置
#02509,後方支援
#02510,頭目戰等時候會在站在後方
#02511,暴擊UP改
#02512,喜歡製作<0>
#02513,在工坊的活動時間延長
#02514,在工坊的活動時間大幅延長
#02515,破壞護甲<0>
#02516,暫時減低對手的防禦<0>%
#02517,睡眠咒文<0>
#02518,讓對手暫時睡著
#02519,技能
#02520,游擊<0>
#02521,能在城市周圍約<0>格內自由活動
#02522,美術<0>
#02523,能在藝術工坊進行製作
#02524,稍微縮短在藝術工坊的製作時間
#02525,縮短在藝術工坊的製作時間
#02526,大幅縮短在藝術工坊的製作時間
#02527,極大縮短在藝術工坊的製作時間
#02528,捕獲動物
#02529,能捕捉野生動物
#02530,愛講話<0>
#02531,稍微更容易和同居人變得親密
#02532,容易和同居人變得親密
#02533,非常容易和同居人變得親密
#02534,銘謝惠顧
#02535,小獎
#02536,中獎
#02537,大獎
#02538,歷代
#02539,星期
#02540,支援
#02541,託管
#02542,全部
#02543,內容
#02544,預想
#02545,全員返回
#02546,排列順序
#02547,復原
#02548,重設
#02549,決定
#02550,結束
#02551,返回
#02552,是
#02553,否
#02554,確認
#02555,儲存
#02556,選單
#02557,自己
#02558,前
#02559,網站
#02560,階層
#02561,密碼
#02562,改名
#02563,回轉
#02564,移除
#02565,切換
#02566,中止
#02567,繼續
#02568,關閉
#02569,履歷
#02570,追蹤
#02574,劍士開羅君的挑戰（初級）
#02575,打倒我，得到寶物吧
#02576,劍士開羅君的挑戰（中級）
#02577,劍士開羅君的挑戰（上級）
#02578,劍士開羅君的挑戰（超級）
#02579,魔導士開羅君的挑戰（初級）
#02580,魔導士開羅君的挑戰（中級）
#02581,魔導士開羅君的挑戰（上級）
#02582,魔導士開羅君的挑戰（超級）
#02583,夏威夷開羅君的挑戰（初級）
#02584,夏威夷開羅君的挑戰（中級）
#02585,夏威夷開羅君的挑戰（上級）
#02586,夏威夷開羅君的挑戰（超級）
#02587,開羅司令的挑戰（初級）
#02588,開羅司令的挑戰（中級）
#02589,開羅司令的挑戰（上級）
#02590,開羅司令的挑戰（超級）
#02591,突擊！游擊歪羅迷宮
#02592,哼哼，來得好
#02593,逆襲的戰士歪羅君
#02594,戰慄的魔王歪羅君
#02595,決戰！歪羅坦克
#02596,調查 <0>上級倉庫設計圖的傳聞
#02603,=#00001
#02604,調查 寶物上級倉庫設計圖的傳聞
#02605,調查 道具上級倉庫設計圖的傳聞
#02606,調查 蛋上級倉庫設計圖的傳聞
#02607,調查 領地掩埋設計圖的傳聞
#02608,調查 混沌岩的傳聞
#02609,調查 尋找<0>資源
#02610,調查 尋找大量<0>資源
#02611,調查 尋找水果 <0>
#02612,初級
#02613,中級
#02614,上級
#02615,超上級
#02616,調查 尋找藥物 <0>
#02617,調查 尋找蔬菜 <0>
#02618,調查 尋找海產 <0>
#02619,調查 尋找工具 <0>
#02620,調查 尋找裝備本源 <0>
#02621,調查 尋找銅幣 <0>
#02622,調查 尋找開羅系列 <0>
#02628,調查 未使用
#02629,調查 附帶店員收銀台的傳聞
#02630,調查 飼養龍的方法的傳聞
#02631,調查 技能書籍的傳聞<0>
#02634,調查 智者的傳聞
#02635,初次見面。<br>我是協助您建國的<br>丸濱川羊。
,和國民同心協力，一起將這個……<br>繼承自前任國王的國家，發展成一個<br>讓全世界都羨慕的美好國家吧！
,雖然是這麼說……<br>不過這裡還只是一片什麼都沒有的荒地。
,首先就……<br>來建造作為城市中心的<br>「市政廳」吧。
#02636,=#00001
#02637,初次見面。<br>我是在附近對王國很熟悉的同行。
,我聽說有個勇敢的猛士<br>在這被魔物摧殘的土地上挺身而出，今天特地來拜訪看看。
,我看看，不錯不錯……<br>你長得就像是會改變未來的樣子呢。<br>我看得出來，真的真的，<br>不騙你的。
,作為初次見面的問候，<br>我就把這不小心剩下的能量<br>分給你吧。
#02638,你好。<br>聽國民們都在說<br>這個王國級別已經到達5了，
,所以我視察時，就順便來看看了。<br>光是看起來……就已經成長了許多，前途無量呢。
,已經快要追上……我的王國級別了呢。我要跟我的部下拉爾夫商量一下對策了。
,喔，對了。<br>這次也分你一點能量吧。<br>希望你能好好活用。
#02639,你好。<br>好久不見了呢。
,從上次之後，我為了不要<br>讓你追過我的王國級別，<br>不斷努力升級，前幾天終於
,初次到達7級了！<br>想說這下子終於可以暫時保持領先，<br>所以今天特別來炫耀一下。
,……呃？<br>7級……？<br>咦？已經……追上了？
,……我要快點回去<br>取消慶功宴了。<br>老樣子，這是伴手禮……
#02640,好久不見了。<br>我聽說了<br>你越來越活躍的表現。
,即使我耳朵里塞著耳機<br>也都聽得一清二楚。<br>哎呀，真是不得了。
,那麼就照老樣子，<br>送給你能量吧……<br>請好好活用。
#02641,你好。<br>好久不見了呢。
,因為貴國的努力奮鬥，身為鄰國的我國的怪物也跟著減少，安全度提高了許多！
,然後我變得閒得沒事做，<br>最近正一面看電視一面學習如何不在社群網站上被罵的方法。
,從今以後也希望你能<br>為了我們的和平安穩繼續奮鬥。<br>那麼今天也是老樣子<br>把多餘的能量分給你……
#02642,好久不見了。<br>我通過飛箭傳書收到了<br>你愈來愈精彩的活躍表現。
,前幾天射過來的箭文<br>差點刺到我的頭，<br>還好因為剛巧是USB的部分才大難不死。
,最近的箭原來是<br>用USB送過來的啊。<br>這也是因為你有在<br>好好治理這個王國的緣故。
,為了世界文明的發展，<br>希望今後你也能繼續奮鬥。<br>那麼這次也是老樣子<br>把能量分給你……
#02643,你好。<br>好久不見了呢。
,託了貴國的福，<br>我現在每天都能悠哉地待在家裡。<br>已經不知道幾年沒有出門了呢……
,為了我的家裡蹲生活，<br>今後希望你也能繼續奮鬥。<br>那麼這次也是老樣子<br>把能量分給你……
#02644,你好！<br>貴國那像異次元一樣的級別<br>讓我國全國上下都驚歎不已呢。
,身為鄰居<br>實在是太安心了。
,期待你今後的活躍表現。<br>那麼這次也是老樣子，把能量分給你……
#02645,那麼，<br>讓我們不久後再見吧。
#02646,似乎並沒有<br>持有<0>。
#02647,無法裝備<br><0>。
#02648,<0><br>……已經裝備了呢。
#02649,因為倉庫建成，<br>城市的資源容量增加了。
#02650,<pic=money>似乎不足。
#02651,<pic=grass>似乎不足。
#02652,<pic=wood>似乎不足。
#02653,<pic=food>似乎不足。
#02654,<pic=iron>似乎不足。
#02655,<pic=magic>似乎不足。
#02656,現在並沒有<br>可以領取的報酬。
#02657,和<0><br>道別了。
,裝備和技能<br>似乎退還回來了。
#02658,現在……<br>似乎不能道別。
,請在居民空閒狀況下，<br>稍待一會後再度嘗試。
#02659,會導致無人能夠<br>治理這個國家。
#02660,似乎還沒有發現。
#02661,<pic=stamina>似乎不足。
#02662,現在的城市級別……<br>無法再繼續增加。<br>倉庫數量已經到達上限。
#02663,道具似乎不足。
#02664,似乎沒有雇用權利。
#02665,終、終於……<br>讓所有的區域都<br>恢復了和平……
,完全取回了<br>過去的王國！
,全體國民都很高興！<br>恭喜您！
#02666,哎呀！<br>似乎交了很多朋友呢。
,來自香蕉王國的<br>賀禮送達了喔。
#02667,如果好友增加，<br>在討伐時也能更加有利，<br>所以請一起暢玩吧。
,那麼告辭。
#02668,哎呀！<br>這個島上好像還有<br>未開拓的土地的樣子！
#02669,從建造選單中<br>選擇建造市政廳吧。<br>可以在範圍內自由選擇位置。
#02670,決定城市的範圍了呢。
,這個地方以後將會有民家和倉庫林列，<br>朝向和上一代一樣的美好國家……<br>這個目標一步一腳印前進吧！
,接下來……就建造「土地」<br>重新讓這地方活絡起來吧！
#02671,這次為了建設國王房間，<br>先設為國王的土地吧。
#02672,唉唷，都忘記募集<br>城市的居民了。
,現在的級別最多能夠添加<br>3個居民。<br>試著選擇市政廳吧。
#02673,我也會真心祈禱<br>派遣能夠成功。
,只要向周圍覆蓋的雲進行派遣，<br>世界似乎就會不斷擴展開來喔。
,說到這個，<br>就把我手中的<br>上一代的秘密道具交給你吧。
,您可以自由「長按」<br>來進行快進。
#02674,要離開城市，<br>必須要穿越外壁呢。
,我覺得好像有個入口……<br>會比較方便。
,那麼就馬上來<br>設置看看吧！
#02675,完成了呢！<br>那麼就來派遣出發尋寶吧。
,……或許能找到<br>撥散四周的雲的方法呢！
,那麼就請選擇派遣吧。
#02676,之後應該會需要<br>儲藏各種物品的倉庫。
,試著在市政廳附近<br>建築2間倉庫吧。
#02677,為了儲存更多<pic=grass>，<br>請建造新的倉庫吧。
#02678,為了儲存更多<pic=food>，<br>請建造新的倉庫吧。
#02679,為了儲存更多<pic=wood>，<br>請建造新的倉庫吧。
#02680,為了儲存更多<pic=iron>，<br>請建造新的倉庫吧。
#02681,為了儲存更多<pic=magic>，<br>請建造新的倉庫吧。
#02682,派遣和討伐需要<pic=stamina>呢。
,雖然隨著時間經過能在市政廳獲得一點點……
,但看樣子還是需要<br>更完善的設備呢。
,我回想著上一代時候的能量設施，<br>畫出設計圖了，請您活用。
#02683,看樣子稍微變更一下派遣目的地會比較好。
,我有種預感，<br>被雲覆蓋的地方對王國發展會有幫助。
#02684,為了進行研究……<br>來建造設施吧！
,建造完成之後，<br>請為研究設施指定負責人。
#02685,研究能夠使用各種資源發現對建國有益的東西，果然是很重要的呢！
,研究所也完成了，<br>馬上前進吧！
#02686,得到令人在意的寶物了呢！
,但是……因為還沒打開的關係，<br>不知道內容物是什麼呢。
,鎮民有打開寶箱的技術，準備地方來開封吧！
,放在倉庫附近應該不錯。
#02687,國家發展上軌道了呢。<br>從今以後也要小心謹慎喔。
#02688,有洞窟出現在城市外了呢！
,如果忽略不管的話，<br>會有怪物大量出現……做好準備後，<br>就派人前往討伐吧！
,請試著點擊洞窟。
#02689,似乎發現了<br>讓雲產生的頭目！
,為了奪回世界，<br>做好準備後<br>就派人前往討伐吧！
,請點擊頭目看看。<br><br>……啊，在那之前<br>請收下這個。
#02690,頭目戰開始之後，<br>遇到危急情況時請使用它吧！
#02691,發現了能夠<br>強化夥伴的道具！
,馬上就對夥伴使用吧！
#02692,從居民清單選擇夥伴，<br>就能看見裝備選單。
,把武器和防具交給<br>進行戰鬥的夥伴吧。
#02693,由於派遣夥伴的努力，<br>累積了級別點數！
,馬上就來<br>選擇市政廳，<br>提升王國級別吧！
#02694,據說<pic=grass><br>能夠定期在田裡採收。<br>馬上就來研究看看吧！
#02695,另外，我從家裡的櫃子裡找到的道具<br>也送給你吧。
#02696,據說<pic=wood><br>能夠定期在造林所取得。<br>馬上就來研究看看吧！
#02697,竟然得到新的<br>市政廳了呢。
,既然安全的土地<br>已經擴張了不少……就找個寬廣的地方<br>建立新的城市吧！
#02698,有馬舍的話，<br>派遣的時候就能讓<br>1個人的移動速度提升喔。
,把它蓋在出發前往派遣的<br>出入口處，似乎就會有效果了。
#02699,可以在港口邀請<br>鄰國的船前來拜訪。
,會有像是商人或冒險者前來……<br>但是如果他們不認路的話，<br>就有可能無法到達。
,所以，就一路搭看板<br>到城市的出入口吧！
