@title,中文(简体)
#01805,啊～～<br>好想喷火～～～
#01806,宝箱怪
#01807,好痛啊……没法从宝箱里出来……<br>我要发泄一通了！
#01808,烟雾人
#01809,（浓烟滚滚）<br>好多烟雾，看不清前方！！！
#01810,骷髅船长
#01811,我是从海盗船上下来的。<br>胜利后我还要回去！
#01812,积火
#01813,要来点～滚烫的～<br>熔岩吗～
#01814,熔岩蝙蝠
#01815,前几天在天上飞时，<br>不小心把森林烧光了，嘿嘿嘿。
#01816,火蝾螈
#01817,呀！我第一次看到<br>真正的人类！好想把你做成标本！
#01818,熔岩鱼
#01819,咦？！<br>我离开熔岩了！
#01820,滚烫魔人
#01821,轰隆隆隆隆隆隆，<br>我这次也受邀前来了——！
#01822,黑烟
#01823,喷喷……<br>哎呀……又出来了。
#01824,火焰魔掌
#01825,好想一把抓住<br>你的心！
#01826,喷火龙
#01827,我要喷火把你变成焦炭！
#01828,火山卫门
#01829,尝受我愤怒的喷火吧！
#01830,火焰龙
#01831,消灭……敌对……之人。
#01832,幽灵
#01833,好恨啊～<br>炒饭啊～牛肉盖饭啊～
#01834,宇佐美兔雄
#01835,你好啊！终于见面了呢！<br>来！一较高下吧！
#01836,阿布法拉国王
#01837,哎呀，你好。<br>来一场国王间愉快的战斗吧！
#01838,章鱼星人
#01839,我来自火星。<br>我是现居火星的章鱼星人。
#01840,熊猫阿隆
#01841,把我当成熊猫的话……<br>可是会倒霉的！
#01842,里饭广志
#01843,哎呀哎啊，你脸色不好呢！<br>再惨白一些会更好哦！
#01844,有田帕卡子
#01845,哎呀，<br>我没什么想说的。
#01846,莲助
#01847,汪汪！<br>我今年16岁！
#01848,佩太郎
#01849,我前几天第一次吃金枪鱼，<br>所以现在精力充沛！
#01850,年糕肉猪
#01851,哼唧～<br>哼唧～
#01852,=#00248
#01853,哎呀，没想到会在这种地方<br>遇见开罗玩家！
#01854,森野大熊
#01855,你好，我一直很担心，<br>以为这次没我的戏份了。
#01856,=#00250
#01857,嘿嘿嘿，我的邪恶差不多<br>也该提升到新的境界了。
#01858,鸭田露子
#01859,把我当成鸭子的话，<br>你可要惨了嘎——！
#01860,开罗姬
#01861,哎呀，我还以为是金块呢……<br>呵呵呵，原来是个人啊。
#01862,=#00263
#01863,嗨，你好，我是开罗君。<br>用我这久经磨炼的身躯……一决胜负吧！
#01864,赤井英雄
#01865,吁！要记得玩！<br>出发英雄基地哦！
#01866,佩·片片
#01867,你好。我从百万进行曲<br>过来玩了！
#01868,小荒田部长
#01869,总被误认为考拉的挫败感<br>促使我越来越强了。
#01870,七色摔跤手
#01871,鸡
#01872,猪
#01873,牛
#01874,惊吓鱼
#01875,泰塔尔鱼
#01876,金属波克
#01877,哇哈！<br>被发现了！
#01878,宝物袋
#01879,装在袋子里的<br>是美梦还是噩梦！擦亮眼睛看清吧！
#01880,剑士开罗君
#01881,我的剑能斩断世间万物！<br>动手吧！
#01882,魔导士开罗君
#01883,终于是时候解封<br>这代代相传的魔法了！
#01884,度假开罗君
#01885,阿罗～哈～<br>有没有乘上一阵好浪啊～
#01886,开罗司令
#01887,我在打游戏呢……<br>只好快点打倒你再继续了！
#01888,魔道歪罗君
#01889,嘿嘿嘿……既然无法用金钱解决，<br>那只能打倒你了。
#01890,战士歪罗君
#01891,魔王歪罗君
#01892,歪罗坦克
#01893,歪罗大魔王
#01894,啊哈哈哈！我都等得不耐烦了！<br>……害我都烧成这样了！
#01895,鸡屁股魔人
#01896,让我也把你……<br>串成鸡肉串吧！！
#01897,礼物子
#01898,圣诞节<br>快～惹。
#01899,海豹
#01900,浣熊
#01901,犰狳
#01902,黄鼠狼
#01903,野猪
#01904,水豚
#01905,龟
#01906,狐狸
#01907,熊
#01908,犀牛
#01909,斑马
#01910,象
#01911,狸猫
#01912,鹤
#01913,貘
#01914,仓鼠
#01915,刺猬
#01916,河狸
#01917,猫头鹰
#01918,飞鼠
#01919,豚鼠
#01920,山羊
#01921,鳄鱼
#01922,西园寺
#01923,道明寺
#01924,神宫寺
#01925,豪德寺
#01926,国分寺
#01927,金刚院
#01928,吉祥寺
#01929,佐久间
#01930,坂本
#01931,本田
#01932,武藏
#01933,间濑
#01934,东乡
#01935,越前
#01936,飞驒
#01937,肥后
#01938,肥前
#01939,陆奥
#01940,三河
#01941,丹波
#01942,因幡
#01943,出云
#01944,石见
#01945,岩城
#01946,陆前
#01947,佐渡
#01948,能登
#01949,阿波
#01950,佐藤
#01951,铃木
#01952,山本
#01953,岛
#01954,小
#01955,伊集
#01956,绫野
#01957,小豆
#01958,我孙
#01959,山
#01960,田
#01961,=#00894
#01962,院
#01963,佐助
#01964,保次郎
#01965,面包太郎
#01966,龙马
#01967,佐藤
#01968,信长
#01969,吉田
#01970,茂夫
#01971,阿秀
#01972,雷欧
#01973,闪助
#01974,悟
#01975,聪司
#01976,优斗
#01977,晴人
#01978,诺特
#01979,春藏
#01980,番茄
#01981,利治
#01982,诚次郎
#01983,蜜瓜
#01984,玛琳
#01985,美亚莉
#01986,美美加子
#01987,朱缇姆
#01988,良子
#01989,茂美
#01990,玛丽
#01991,十和子
#01992,玛丽琳
#01993,右子
#01994,左子
#01995,遥香
#01996,铃子
#01997,面包子
#01998,梁子
#01999,助美
#02000,梅利子
#02001,秀
#02002,俊
#02003,春
#02004,真子
#02005,秋
#02006,夏
#02007,冬
#02008,北
#02009,东
#02010,南
#02011,西
#02012,铁
#02013,银
#02014,炸
#02015,乌冬
#02016,夫
#02017,雄
#02018,彦
#02019,郎
#02020,太
#02021,子
#02022,美
#02023,子
#02024,实
#02025,=#00351
#02026,<po=m>拥有道具 <0> <1>以上<br>道具 <2> <3>以上
#02027,=#01131
#02028,=#01136
#02029,=#00352
#02030,=#00371
#02031,=#00372
#02032,=#00401
#02033,=#00402
#02034,=#00415
#02035,=#00416
#02036,=#00417
#02037,=#00425
#02038,=#00426
#02039,=#00427
#02040,=#00375
#02041,=#00376
#02042,=#00377
#02043,=#00486
#02044,=#00487
#02045,=#00431
#02046,=#00432
#02047,=#00379
#02048,=#00380
#02049,=#00381
#02050,=#00382
#02051,=#00420
#02052,=#00421
#02053,=#00422
#02054,=#00435
#02055,=#00436
#02056,=#00437
#02057,=#00385
#02058,=#00386
#02059,=#00387
#02060,=#00440
#02061,=#00441
#02062,=#00442
#02063,=#00391
#02064,=#00392
#02065,=#00404
#02066,=#00405
#02067,=#00406
#02068,=#00407
#02069,=#00445
#02070,=#00446
#02071,=#00447
#02072,=#00355
#02073,=#00356
#02074,=#00357
#02075,=#00450
#02076,=#00451
#02077,=#00452
#02078,=#00489
#02079,=#00490
#02080,=#00491
#02081,=#00492
#02082,=#00494
#02083,=#00495
#02084,=#00496
#02085,=#00497
#02086,=#00455
#02087,=#00456
#02088,=#00457
#02089,=#00460
#02090,=#00461
#02091,=#00462
#02092,=#00500
#02093,=#00501
#02094,=#00502
#02095,=#00465
#02096,=#00466
#02097,=#00467
#02098,=#00470
#02099,=#00471
#02100,=#00472
#02101,=#00360
#02102,=#00361
#02103,=#00362
#02104,=#00474
#02105,=#00475
#02106,=#00476
#02107,=#00477
#02108,=#00409
#02109,=#00410
#02110,=#00411
#02111,=#00412
#02112,=#00365
#02113,=#00366
#02114,=#00367
#02115,=#00479
#02116,=#00480
#02117,=#00481
#02118,=#00482
#02119,=#00396
#02120,=#00397
#02121,=#00516
#02122,=#01132
#02123,=#00517
#02124,=#00518
#02125,=#00519
#02126,=#00522
#02127,=#00523
#02128,=#00524
#02129,=#00525
#02130,=#00526
#02131,=#00527
#02132,=#00528
#02133,=#00529
#02134,=#00530
#02135,=#00531
#02136,=#00540
#02137,=#01133
#02138,=#00541
#02139,=#00543
#02140,=#00544
#02141,=#00545
#02142,=#00546
#02143,=#00547
#02144,=#00549
#02145,=#00550
#02146,=#00551
#02147,=#00554
#02148,=#00555
#02149,=#00556
#02150,=#00557
#02151,=#00558
#02152,=#00559
#02153,=#00560
#02154,=#00561
#02155,=#00582
#02156,=#01134
#02157,=#01137
#02158,=#00583
#02159,=#00584
#02160,=#00585
#02161,=#00586
#02162,=#00587
#02163,=#00588
#02164,=#00589
#02165,=#00590
#02166,=#00592
#02167,=#00593
#02168,=#00594
#02169,=#00595
#02170,=#00596
#02171,=#00597
#02172,=#00598
#02173,=#00599
#02174,=#00600
#02175,=#00603
#02176,=#01135
#02177,=#00604
#02178,=#00605
#02179,=#00606
#02180,=#00607
#02181,=#00608
#02182,=#00610
#02183,=#00611
#02184,=#00613
#02185,=#00614
#02186,=#00616
#02187,=#00617
#02188,=#00618
#02189,=#00619
#02190,=#00620
#02191,=#00621
#02192,=#00622
#02193,=#00623
#02194,=#00624
#02195,=#00625
#02196,=#00629
#02197,=#00630
#02198,=#00631
#02199,=#00632
#02200,=#00633
#02201,=#00634
#02202,=#00635
#02203,=#00636
#02204,=#00637
#02205,=#00638
#02206,=#00639
#02207,=#00640
#02208,=#01404
#02209,研究看看吧
#02210,=#01042
#02211,=#00904
#02212,=#01405
#02213,=#01043
#02214,=#01406
#02215,=#01044
#02216,=#01407
#02217,=#01045
#02218,=#01408
#02219,=#01409
#02220,=#01410
#02221,=#00340
#02222,=#01422
#02223,=#01423
#02224,=#01424
#02225,=#01426
#02226,=#01427
#02227,=#01428
#02228,=#01429
#02229,=#01430
#02230,=#01431
#02231,=#01432
#02232,=#01433
#02233,=#01434
#02234,=#01435
#02235,=#01436
#02236,=#01437
#02237,=#01438
#02238,=#01439
#02239,=#01440
#02240,=#01441
#02241,=#01442
#02242,=#01443
#02243,=#01444
#02244,=#01445
#02245,=#01448
#02246,=#01449
#02247,=#01450
#02248,=#01451
#02249,=#01452
#02250,=#01453
#02251,=#01454
#02252,=#01455
#02253,=#01456
#02254,=#01457
#02255,=#01458
#02256,=#01459
#02257,=#01460
#02258,=#01461
#02259,=#01462
#02260,=#01463
#02261,=#01464
#02262,=#01465
#02263,=#01466
#02264,=#01467
#02265,=#01468
#02266,=#01469
#02267,=#01470
#02268,=#01471
#02269,=#01472
#02270,=#01536
#02271,=#01538
#02272,=#01543
#02273,=#01561
#02274,=#01046
#02275,=#01562
#02276,=#01047
#02277,=#01476
#02278,=#01048
#02279,=#01477
#02280,=#01049
#02281,=#01478
#02282,=#01050
#02283,=#01479
#02284,=#01051
#02285,=#01501
#02286,=#01502
#02287,=#01503
#02288,=#01504
#02289,=#01505
#02290,=#01506
#02291,=#01507
#02292,=#01508
#02293,=#01509
#02294,=#01510
#02295,=#01511
#02296,=#01512
#02297,=#01513
#02298,=#01514
#02299,=#01515
#02300,=#01516
#02301,=#01517
#02302,=#01518
#02303,=#01519
#02304,=#01520
#02305,=#01521
#02306,=#01522
#02307,=#01523
#02308,=#01524
#02309,=#01525
#02310,=#01526
#02311,=#01527
#02312,=#01528
#02313,=#01529
#02314,=#01071
#02315,=#01531
#02316,=#01532
#02317,=#01533
#02318,=#01563
#02319,=#01564
#02320,=#01573
#02321,=#01566
#02322,=#01567
#02323,=#01568
#02324,=#00931
#02325,=#01052
#02326,=#00937
#02327,=#01053
#02328,=#00943
#02329,=#01054
#02330,=#00948
#02331,=#01055
#02332,=#00969
#02333,=#01056
#02334,=#00972
#02335,=#01057
#02336,=#00975
#02337,=#01058
#02338,=#00978
#02339,=#01059
#02340,=#00981
#02341,=#01060
#02342,=#00984
#02343,=#01061
#02344,=#00987
#02345,=#01062
#02346,=#00990
#02347,=#00993
#02348,=#00996
#02349,=#00999
#02350,=#01002
#02351,=#01005
#02352,=#01008
#02353,=#01031
#02354,=#01040
#02355,=#01034
#02356,=#01035
#02357,=#01036
#02358,=#01037
#02359,=#01603
#02360,=#01594
#02361,=#01606
#02362,=#01604
#02363,=#00001
#02364,普通攻击
#02365,弓箭攻击
#02366,枪炮攻击
#02367,暴击
#02368,弓箭乱射
#02369,装备弓箭时发动乱射
#02370,炎魔法<0>
#02372,进行魔法攻击
#02377,冰魔法<0>
#02378,雷魔法<0>
#02379,半反射
#02380,反射对手一半的攻击
#02381,完全反射
#02382,将对手的攻击全部反射
#02383,<0>连击
#02384,一次攻击连续击打<0>次
#02385,反击攻击
#02386,对方攻击时立即进行反击
#02387,格挡
#02388,减轻对手的攻击伤害
#02389,完全闪避
#02390,发动时可巧妙闪避攻击
#02391,闪避强化
#02392,短时间内提升闪避率
#02393,暴击强化
#02394,短时间内提升暴击率
#02395,直线攻击<0>
#02396,攻击 <0>列直线
#02397,范围攻击<0>
#02398,攻击周围的 <0>列敌人
#02399,多弹头箭矢
#02400,装备弓箭时进行范围攻击
#02401,<0>回复
#02402,=#01954
#02403,生命回复<0>%
#02404,中
#02405,大
#02406,复活<0>%
#02407,可以从重伤状态以<0>%的生命复活
#02408,农活
#02409,可以灵活运用农田等
#02410,施工作业
#02411,建造时可以无视施工人数
#02412,偷窃
#02413,攻击时偶尔会出现宝箱
#02414,烹饪
#02415,可以在饭馆等设施中制作道具
#02416,搬运
#02417,可以在城市间运送资源
#02418,研究
#02419,可以进行研究
#02420,研究<0>
#02421,研究时间减少 <0>%
#02422,奶农
#02423,可以捕捉动物，运用牧场
#02424,宝箱解析
#02425,可以取出城中宝箱里的物品
#02426,制作
#02427,可以在工坊中制作卖给游客的商品
#02428,制作<0>
#02429,工坊中的制作时间减少 <0> %
#02430,立即完成<0>
#02431,建造
#02432,建造时可以立即完成
#02433,工坊
#02434,工坊活动可以立即完成
#02435,瞬间移动
#02436,偶尔会瞬间移动
#02437,除草
#02438,可以立即完成自然开采工作
#02439,可以立即完成宝箱解析工作
#02440,移动速度提升
#02441,提升步行速度
#02442,全力冲刺
#02443,时刻保持冲刺状态
#02444,矿山
#02445,可以在矿山活动
#02446,派遣范围扩大<0>
#02447,稍稍扩大派遣范围
#02448,大幅扩大派遣范围
#02449,云攻击扩大
#02450,扩大消除阴云时的范围
#02451,经验值提升<0>
#02452,稍稍提升战斗经验值
#02453,提升战斗经验值
#02454,大幅提升战斗经验值
#02455,派遣费用减少<0>
#02456,稍稍减少派遣所需能量
#02457,大幅减少派遣所需能量
#02458,<0>自动回复
#02459,生命
#02460,行走时定期<0>
#02461,回复生命
#02462,魔力
#02463,回复魔力
#02464,活力
#02465,回复活力
#02466,设施<0>回复强化
#02467,使用设施时的生命回复量增加
#02468,使用设施时的活力回复量增加
#02469,使用设施时的魔力回复量增加
#02470,毅力
#02471,重伤时消耗自身魔力复活
#02472,克服<0>系武器
#02473,剑
#02474,克服<0>系装备弱项
#02475,杖
#02476,=#00345
#02477,矛
#02478,锤
#02479,棒
#02480,枪
#02481,弓
#02482,书
#02483,克服盾装备
#02484,盾
#02485,隐身
#02486,扫除阴云时不会出现敌人
#02487,敏锐直觉
#02488,挖掘地面时不会出现敌人
#02489,退怯
#02490,捡拾物品时不会战斗
#02491,好战
#02492,派遣时不会捡拾物品
#02493,看家
#02494,速去速回
#02495,在派遣范围巡视1周后返回
#02496,热爱散步
#02497,热爱自然
#02498,热爱远征
#02499,专心辅助
#02500,敌人袭击时不会战斗
#02501,整地活动
#02502,活动时专注于收集领土内的资源
#02503,热爱农田
#02504,细心周到
#02505,头阵
#02506,首领战时会站在最前列
#02507,勇猛果敢
#02508,首领战时会站在靠前的位置
#02509,后方支援
#02510,首领战时会站在后方
#02511,暴击强化改
#02512,热爱制作<0>
#02513,延长在工坊的活动时间
#02514,大幅延长在工坊的活动时间
#02515,破防<0>
#02516,使对方的防御暂时下降<0>%
#02517,催眠咒<0>
#02518,使对方暂时陷入沉睡状态
#02519,技能
#02520,游击<0>
#02521,在城市周围<0>格的范围内自由活动
#02522,美术<0>
#02523,可以在艺术工坊中进行制作
#02524,稍稍减少艺术工坊中的制作时间
#02525,减少艺术工坊中的制作时间
#02526,大幅减少艺术工坊中的制作时间
#02527,极度减少艺术工坊中的制作时间
#02528,捕捉动物
#02529,可以捕捉野生动物
#02530,健谈<0>
#02531,较容易与同居者变得亲密
#02532,容易与同居者变得亲密
#02533,非常容易与同居者变得亲密
#02534,谢谢参与
#02535,小奖
#02536,中奖
#02537,大奖
#02538,历代
#02539,每周
#02540,支援
#02541,自动
#02542,全部
#02543,内容
#02544,预想
#02545,全员返回
#02546,排序
#02547,修复
#02548,重置
#02549,确定
#02550,结束
#02551,返回
#02552,是
#02553,否
#02554,确认
#02555,保存
#02556,菜单
#02557,自己
#02558,前
#02559,网站
#02560,阶层
#02561,密码
#02562,改名
#02563,旋转
#02564,移除
#02565,切换
#02566,中止
#02567,继续
#02568,关闭
#02569,履历
#02570,追踪
#02574,挑战剑士开罗君（初级）
#02575,打倒我，获得宝物吧
#02576,挑战剑士开罗君（中级）
#02577,挑战剑士开罗君（高级）
#02578,挑战剑士开罗君（超级）
#02579,挑战魔导士开罗君（初级）
#02580,挑战魔导士开罗君（中级）
#02581,挑战魔导士开罗君（高级）
#02582,挑战魔导士开罗君（超级）
#02583,挑战度假开罗君（初级）
#02584,挑战度假开罗君（中级）
#02585,挑战度假开罗君（高级）
#02586,挑战度假开罗君（超级）
#02587,挑战开罗司令（初级）
#02588,挑战开罗司令（中级）
#02589,挑战开罗司令（高级）
#02590,挑战开罗司令（超级）
#02591,突击！ 游击歪罗迷宫
#02592,哼哼，来得好
#02593,逆袭的战士歪罗君
#02594,战栗的魔王歪罗君
#02595,决战！歪罗坦克
#02596,调查 <0>高级仓库设计图的传闻
#02603,=#00001
#02604,调查 宝物高级仓库设计图的传闻
#02605,调查 道具高级仓库设计图的传闻
#02606,调查 蛋类高级仓库设计图的传闻
#02607,调查 领土填埋设计图的传闻
#02608,调查 混沌之岩的传闻
#02609,调查 寻找<0>资源
#02610,调查 寻找大量<0>资源
#02611,调查 寻找水果 <0>
#02612,初级
#02613,中级
#02614,高级
#02615,超高级
#02616,调查 寻找药材 <0>
#02617,调查 寻找蔬菜 <0>
#02618,调查 寻找海产 <0>
#02619,调查 寻找工具 <0>
#02620,调查 寻找装备本源 <0>
#02621,调查 寻找铜币 <0>
#02622,调查 寻找开罗系列<0>
#02628,调查 未使用
#02629,调查 附带店员收银机的传闻
#02630,调查 驯龙方法的传闻
#02631,调查 技能书籍的传闻<0>
#02634,调查 智者的传闻
#02635,初次见面。<br>我叫丸浜川羊，<br>前来协助您建国。
,在从先王那里继承的……<br>这个王国中，与国民齐心协力，<br>努力建设世界驰名的出色王国吧！
,话虽如此……<br>但这里现在还是一无所有的荒地呢。
,首先……<br>来建造城市的中心<br>“市政厅”吧。
#02636,=#00001
#02637,初次见面。<br>我是在这附近对王国很熟悉的同行人员。
,我听说有一位勇敢的猛士<br>在这片被魔物破坏的土地上崛起了，今天便特来拜访。
,原来如此，很有潜质呢……<br>我看你的面相，<br>应该可以改变未来。<br>我能看得出，真的。
,为促进两国的友谊，<br>我把这不小心多出来的能量<br>分给你吧。
#02638,你好。<br>因为民间相传这王国的级别<br>已经升到了5级，
,所以我视察的时候顺便来拜访。<br>光是看上去……就感觉已经变得雄伟了呢，真是前途无量啊。
,我的王国级别……似乎快被追上了呢。我得跟部下拉尔夫商讨一个对策了。
,哎呀，差点忘了。<br>我这次也有能量分给你。<br>希望你能妥善利用。
#02639,你好，<br>好久不见。
,上次回去后，<br>我就努力提升王国级别，<br>以免被赶上，前些天终于
,第一次达到了7级！<br>我想接下来应该暂时能与你保持差距，<br>所以今日特地前来炫耀。
,……哎？<br>7级……？<br>咦？已经……追上了？
,……我想立即回去<br>取消庆祝会。<br>老样子，这是礼物……
#02640,好久不见。<br>我听说了<br>你越来越活跃的表现。
,即便我耳朵里塞着耳机<br>也完全能听清楚。<br>哎呀，真是了不起。
,那么，这次也为你带了<br>能量来……<br>请好好使用。
#02641,你好，<br>好久不见。
,多亏贵国努力奋斗，就连我们这个邻国的怪物数量也减少了，安全系数提高了不少！
,然后我一下子闲得要死，<br>最近正跟着电视学习不会被喷的社交网使用方法。
,为了我们今后的安稳，<br>希望你今后也一定要继续奋斗。<br>好了，这次也分你一些<br>多余的能量吧……
#02642,好久不见。<br>我通过箭书中得知了<br>你们的活跃表现。
,前几日飞来的箭书<br>差点刺中我的头，<br>还好那部分是磁盘接口。
,最近的箭书<br>会绑着磁盘飞过来呢。<br>这一切都归功于<br>你出色地推进着王国的经营。
,为了世界文明的发展，<br>希望你今后也一定要继续奋斗。<br>好了，这次也分你一些<br>多余的能量吧……
#02643,你好，<br>好久不见。
,多亏你的王国，<br>我现在能每天悠闲地待在家里了。<br>都不记得多少年没出来走动了……
,为了我的家里蹲生活，<br>希望你今后也一定要继续奋斗。<br>好了，这次也分你一些<br>多余的能量吧……
#02644,你好！<br>这里如同异次元般的级别<br>让我们举国上下都惊叹不已。
,我身为邻国<br>真的非常放心。
,我会继续期待你今后的活跃表现。<br>那么这次也分你一些能量……
#02645,好了，<br>让我们在不久的将来再见吧。
#02646,似乎没有<br><0>。
#02647,无法装备<br><0>。
#02648,<0><br>……已经装备了呢。
#02649,因为仓库的建成，<br>城中的资源容量增加了。
#02650,<pic=money>似乎不足。
#02651,<pic=grass>似乎不足。
#02652,<pic=wood>似乎不足。
#02653,<pic=food>似乎不足。
#02654,<pic=iron>似乎不足。
#02655,<pic=magic>似乎不足。
#02656,目前似乎没有<br>可以领取的报酬。
#02657,与<0><br>告别了。
,似乎归还了<br>装备和技能。
#02658,现在……<br>似乎无法告别。
,请在居民空闲的状态下，<br>于稍后再次尝试。
#02659,会导致<br>王国无人管理。
#02660,似乎尚未发现。
#02661,<pic=stamina>似乎不足。
#02662,根据当前的城市级别……<br>无法继续添加。<br>仓库数已达上限。
#02663,道具似乎不足。
#02664,似乎没有雇佣的权利。
#02665,终、终于……<br>为所有区域<br>恢复了和平……
,完全夺回了<br>昔日的王国！
,全体国民都很高兴呢！<br>恭喜！
#02666,哎呀！<br>似乎交了不少朋友呢。
,香蕉王国<br>送来了贺礼哦。
#02667,好友的增加<br>也有利于讨伐，<br>所以请与好友一起享受游戏吧。
,那么告辞。
#02668,哎呀！<br>这座岛上似乎还有<br>未开垦的土地！
#02669,在建造菜单中<br>搭建市政厅吧。<br>请在领土内选择任意场所。
#02670,城市的范围定好了呢。
,今后让城市中充满住宅和仓库，<br>一步一步打造先王那时的……<br>雄伟王国吧！
,接下来……请建造“土地”，<br>让城市恢复活力吧！
#02671,这次就先选国王的土地，<br>来建造国王房间吧。
#02672,哎呀，我忘记为城市<br>募集居民了。
,以当前的级别，似乎最多可以<br>添加3名居民。<br>请选择市政厅吧。
#02673,我也会为派遣<br>好好祈祷的。
,对周围覆盖的阴云派遣人手，<br>似乎能让世界不断扩大哦。
,对了，<br>我手里有先王的秘密道具，<br>先交给您吧。
,您可以在任何时间<br>通过“长按”来快进。
#02674,想去城外的话，<br>就需要通过外墙呢。
,感觉……有入口<br>会比较方便。
,我们现在<br>就来布置吧！
#02675,布置好了呢！<br>那么，把人手派遣出去探宝吧。
,……或许还能找到<br>扫除周围阴云的方法！
,那么，请选择派遣吧。
#02676,我觉得我们需要仓库<br>来储存今后增加的各类物品。
,在市政厅附近<br>建造2间仓库吧。
#02677,为了储存更多<pic=grass>，<br>请建造新的仓库吧。
#02678,为了储存更多<pic=food>，<br>请建造新的仓库吧。
#02679,为了储存更多<pic=wood>，<br>请建造新的仓库吧。
#02680,为了储存更多<pic=iron>，<br>请建造新的仓库吧。
#02681,为了储存更多<pic=magic>，<br>请建造新的仓库吧。
#02682,派遣和讨伐需要<pic=stamina>呢。
,虽然每隔一段时间能在市政厅获得一些……
,但似乎还是需要<br>更专业的设施呢。
,我回想着先王那时的能量设施，<br>画好了设计图，请您多加利用。
#02683,看来似乎应该稍微更改一下派遣目的地。
,我觉得那些布满阴云的地方<br>会有助于王国的发展。
#02684,来建造……<br>用于研究的设施吧！
,建造完成后<br>记得为研究设施指定负责人。
#02685,研究非常重要，能使用各类资源来寻找有助于建国的物品！
,研究所也已经建成了，<br>马上前进吧！
#02686,得到了令人在意的宝物呢！
,不过……现在还没打开，<br>不知道里面有什么呢。
,镇民拥有打开宝箱的技术，为他准备开箱的场地吧！
,似乎建在仓库附近会比较好。
#02687,正式开始建国了呢，<br>今后也要仔细谨慎哦。
#02688,城外出现了洞窟呢！
,放着不管的话，<br>魔物就会越来越多……<br>准备完成后，就派人前去讨伐吧！
,请点击洞窟吧。
#02689,似乎发现了<br>散布阴云的首领！
,为了夺回世界，<br>准备完成后<br>就派人前去讨伐吧！
,请点击首领吧。<br><br>……啊，在那之前，<br>我先把这个交给您。
#02690,首领战开始后，<br>遇到危机时记得使用哦！
#02691,发现了<br>可以强化伙伴的道具呢！
,这就在伙伴身上用用看吧！
#02692,在居民列表选择伙伴后，<br>会出现装备菜单哦。
,向进行战斗的伙伴<br>授予武器和防具吧。
#02693,依靠派遣伙伴的力量，<br>顺利积攒了级别点数呢！
,立即<br>选择市政厅，<br>提升王国级别吧！
#02694,我听说<pic=grass>可以定期<br>从农田中获得。<br>这就研究看看吧！
#02695,另外，我在家里的柜子里<br>发现了道具，请您收下。
#02696,我听说<pic=wood>可以定期<br>从造林所获得。<br>这就研究看看吧！
#02697,竟然获得了<br>新的市政厅呢。
,毕竟安全的土地已经<br>扩大了不少……就在开阔的地方<br>建造新的城市吧！
#02698,有马棚的话，<br>在派遣时可以提升<br>1个人的移动速度哦。
,将它建造在派遣时需要通过的<br>出入口附近，似乎会就能发挥效果了。
#02699,在港口可以邀请<br>邻国的船只。
,会有商人、冒险者前来造访……<br>但如果不认路的话，<br>可能会无法到达。
,所以就在连接城市出入口的<br>道路上布置招牌吧！
#02700,布置时请注意范围，<br>要让它们能连起来哦。
,对了，顺便一提，<br>邻国送来了贺礼，请收下。
#02701,将招牌<br>一直布置到入口后，
,就选择港口，邀请船只前来吧。<br>如果城里有商店的话，<br>就能增加收入哦！
#02702,新的房间类型<br>似乎能供同居者一起居住。
,机会难得，<br>请摆放专用床铺，设置伙伴吧！
#02703,虽然每种职业<br>都各自装备了技能……
,学会新技能时，<br>别忘记选择伙伴，<br>通过“装备技能”来授予技能。
,有些技能似乎能在<br>战斗中或城里提供帮助。<br>请尝试各种搭配吧。
#02704,城市受到攻击，<br>设施似乎被破坏了呢。
,我有听说过传闻……<br>怪物有时似乎会在满月之夜<br>进入城市。
,我把可以叫醒睡梦中的居民，<br>或是唤回派遣中伙伴的道具<br>交给您吧。
,请在受到大量怪物攻击时<br>多加利用。
#02705,有伙伴<br>在战斗中受伤了呢……
,似乎需要回复设施。<br>我们立即建造吧！
#02706,城市越来越繁荣了呢。
,我猜……<br>今后与我们针锋相对的怪物们<br>也会越来越强。
,也请选择已建造的各类设施，<br>考虑对它们进行<br>升级。
#02707,研究似乎需要某个<br>重要的“职业”呢。
,我把认识的人介绍给您，<br>希望您能予以雇佣。
#02708,为了寻找新的伙伴……<br>不如接受介绍吧？
,让中介来介绍希望搬迁到<br>新城市里的居民和冒险者吧！
#02709,看着与先王的纪念相片，<br>我想起城里以前<br>好像有一口水井。
,来研究吧！
#02710,看着与先王的珍贵相册，<br>我想起城里以前<br>好像有炉灶。
,来研究吧！
#02711,看着先王送的自拍照，<br>我想起城里以前<br>好像有休憩处。
,来研究吧！
#02712,看着先王画的风景画，<br>我想起城里以前<br>好像有长椅。
,来研究吧！
#02713,终于建成了……<br>期待的第2个城市呢！
,昨天我们举国欢庆，<br>度过了十分快乐的时光。
,未开垦的地区就在附近，<br>感觉它能成为管理土地的<br>强大基地呢！
,我想今后的发展<br>会需要更多各种各样的资源，
,虽然微不足道，<br>但也请收下我为这一天<br>准备的礼物吧。
#02714,一起打造<br>美丽的城市吧！
#02715,说起来，城市间<br>似乎可以进行物资交易。
,将此设施建在两个城市中，<br>并选择想要运送的物资吧。
#02716,我把先王赐给我的<br>特别道具给您吧。
,可以让工程瞬间完成哦！
#02717,请拿着此道具，<br>选择房内的各个地方。
#02718,出现了提升级别所需的<br>素材呢。
