,,,,,,,saleTerm [][],,,,,,,,,,,buyTerm [][],,,,,,,,,,,,,,,,
160,Town Building Textbook #10,0,0,0,0,0,2,3,15,35,1,4,91,159,1,1,750,2,4,23,66,4,1,4,23,70,15,1,Increases max town rank by 5.,1,1,5,5,3
161,Town Building Textbook #11,0,0,0,0,0,2,3,15,45,1,4,91,160,1,1,750,2,4,23,67,3,1,4,23,70,18,1,Increases max town rank by 5.,1,1,5,5,3
162,Town Building Textbook #12,0,0,0,0,0,2,3,15,55,1,4,91,161,1,1,750,2,4,23,67,3,1,4,23,70,21,1,Increases max town rank by 5.,1,1,5,5,3
163,Town Building Textbook #13,0,0,0,0,0,2,3,15,65,1,4,91,162,1,1,750,2,4,23,68,2,1,4,23,70,24,1,Increases max town rank by 5.,1,1,5,5,3
164,Town Building Textbook #14,0,0,0,0,0,2,3,15,75,1,4,91,163,1,1,750,2,4,23,69,1,1,4,23,70,27,1,Increases max town rank by 5.,1,1,5,5,3
165,Military Training Manual #1,0,0,0,1,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for boss battles and online conquests.,1,4,1,1,0
166,Military Training Manual #2,0,0,0,1,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for boss battles and online conquests.,1,4,1,1,0
167,Military Training Manual #3,0,0,0,1,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for boss battles and online conquests.,1,4,1,1,0
168,Military Training Manual #4,0,0,0,1,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for boss battles and online conquests.,1,4,1,1,0
169,Military Training Manual #5,0,0,0,1,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for boss battles and online conquests.,1,4,1,1,0
170,Military Training Manual #6,0,0,0,1,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for boss battles and online conquests.,1,4,1,1,0
171,Military Training Manual #7,0,0,0,1,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for boss battles and online conquests.,1,4,1,1,0
172,Military Training Manual #8,0,0,0,1,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for boss battles and online conquests.,1,4,1,1,0
173,Military Training Manual #9,0,0,0,1,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for boss battles and online conquests.,1,4,1,1,0
174,Military Training Manual #10,0,0,0,1,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for boss battles and online conquests.,1,4,1,1,0
175,Military Training Manual #11,0,0,0,1,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for boss battles and online conquests.,1,4,1,1,0
176,Military Training Manual #12,0,0,0,1,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for boss battles and online conquests.,1,4,1,1,0
177,Military Training Manual #13,0,0,0,1,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for boss battles and online conquests.,1,4,1,1,0
178,Military Training Manual #14,0,0,0,1,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for boss battles and online conquests.,1,4,1,1,0
179,Military Training Manual #15,0,0,0,1,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for boss battles and online conquests.,1,4,1,1,0
180,Military Training Manual #16,0,0,0,1,0,1,3,15,3,1,,,,,,750,2,4,23,66,4,1,4,23,70,5,1,Increases party size for boss battles and online conquests.,1,4,1,1,3
181,Military Training Manual #17,0,0,0,1,0,2,3,15,8,1,4,91,180,1,1,750,2,4,23,66,4,1,4,23,70,7,1,Increases party size for boss battles and online conquests.,1,4,1,1,3
182,Military Training Manual #18,0,0,0,1,0,2,3,15,12,1,4,91,181,1,1,750,2,4,23,66,4,1,4,23,70,8,1,Increases party size for boss battles and online conquests.,1,4,1,1,3
183,Military Training Manual #19,0,0,0,1,0,2,3,15,16,1,4,91,182,1,1,750,2,4,23,66,4,1,4,23,70,9,1,Increases party size for boss battles and online conquests.,1,4,1,1,3
184,Military Training Manual #20,0,0,0,1,0,2,3,15,20,1,4,91,183,1,1,750,2,4,23,67,3,1,4,23,70,11,1,Increases party size for boss battles and online conquests.,1,4,1,1,3
185,Military Training Manual #21,0,0,0,1,0,2,3,15,24,1,4,91,184,1,1,750,2,4,23,67,3,1,4,23,70,12,1,Increases party size for boss battles and online conquests.,1,4,1,1,3
186,Military Training Manual #22,0,0,0,1,0,2,3,15,28,1,4,91,185,1,1,750,2,4,23,67,3,1,4,23,70,13,1,Increases party size for boss battles and online conquests.,1,4,1,1,3
187,Military Training Manual #23,0,0,0,1,0,2,3,15,32,1,4,91,186,1,1,750,2,4,23,67,3,1,4,23,70,14,1,Increases party size for boss battles and online conquests.,1,4,1,1,3
188,Military Training Manual #24,0,0,0,1,0,2,3,15,36,1,4,91,187,1,1,750,2,4,23,68,2,1,4,23,70,15,1,Increases party size for boss battles and online conquests.,1,4,1,1,3
189,Military Training Manual #25,0,0,0,1,0,2,3,15,40,1,4,91,188,1,1,750,2,4,23,68,2,1,4,23,70,17,1,Increases party size for boss battles and online conquests.,1,4,1,1,3
190,Military Training Manual #26,0,0,0,1,0,2,3,15,60,1,4,91,189,1,1,750,2,4,23,68,2,1,4,23,70,23,1,Increases party size for boss battles and online conquests.,1,4,1,1,3
191,Military Training Manual #27,0,0,0,1,0,2,3,15,75,1,4,91,190,1,1,750,2,4,23,69,1,1,4,23,70,27,1,Increases party size for boss battles and online conquests.,1,4,1,1,3
192,Military Training Manual #28,0,0,0,1,0,2,3,15,80,1,4,91,191,1,1,750,2,4,23,69,1,1,4,23,70,29,1,Increases party size for boss battles and online conquests.,1,4,1,1,3
193,Legendary Expedition Map #1,0,0,0,2,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for cave conquests.,1,5,1,1,0
194,Legendary Expedition Map #2,0,0,0,2,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for cave conquests.,1,5,1,1,0
195,Legendary Expedition Map #3,0,0,0,2,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for cave conquests.,1,5,1,1,0
196,Legendary Expedition Map #4,0,0,0,2,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for cave conquests.,1,5,1,1,0
197,Legendary Expedition Map #5,0,0,0,2,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for cave conquests.,1,5,1,1,0
198,Legendary Expedition Map #6,0,0,0,2,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for cave conquests.,1,5,1,1,0
199,Legendary Expedition Map #7,0,0,0,2,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases party size for cave conquests.,1,5,1,1,0
200,Legendary Expedition Map #8,0,0,0,2,0,1,3,15,1,1,,,,,,750,2,4,23,66,4,1,4,23,70,5,1,Increases party size for cave conquests.,1,5,1,1,3
201,Legendary Expedition Map #9,0,0,0,2,0,2,3,15,7,1,4,91,200,1,1,750,2,4,23,66,4,1,4,23,70,7,1,Increases party size for cave conquests.,1,5,1,1,3
202,Legendary Expedition Map #10,0,0,0,2,0,2,3,15,12,1,4,91,201,1,1,750,2,4,23,66,4,1,4,23,70,8,1,Increases party size for cave conquests.,1,5,1,1,3
203,Legendary Expedition Map #11,0,0,0,2,0,2,3,15,17,1,4,91,202,1,1,750,2,4,23,66,4,1,4,23,70,10,1,Increases party size for cave conquests.,1,5,1,1,3
204,Legendary Expedition Map #12,0,0,0,2,0,2,3,15,22,1,4,91,203,1,1,750,2,4,23,67,3,1,4,23,70,11,1,Increases party size for cave conquests.,1,5,1,1,3
205,Legendary Expedition Map #13,0,0,0,2,0,2,3,15,27,1,4,91,204,1,1,750,2,4,23,67,3,1,4,23,70,13,1,Increases party size for cave conquests.,1,5,1,1,3
206,Legendary Expedition Map #14,0,0,0,2,0,2,3,15,32,1,4,91,205,1,1,750,2,4,23,67,3,1,4,23,70,14,1,Increases party size for cave conquests.,1,5,1,1,3
207,Legendary Expedition Map #15,0,0,0,2,0,2,3,15,37,1,4,91,206,1,1,750,2,4,23,68,2,1,4,23,70,16,1,Increases party size for cave conquests.,1,5,1,1,3
208,Legendary Expedition Map #16,0,0,0,2,0,2,3,15,42,1,4,91,207,1,1,750,2,4,23,68,2,1,4,23,70,17,1,Increases party size for cave conquests.,1,5,1,1,3
209,Legendary Expedition Map #17,0,0,0,2,0,2,3,15,50,1,4,91,208,1,1,750,2,4,23,69,1,1,4,23,70,20,1,Increases party size for cave conquests.,1,5,1,1,3
210,Legendary Expedition Map #18,0,0,0,2,0,2,3,15,60,1,4,91,209,1,1,750,2,4,23,69,1,1,4,23,70,23,1,Increases party size for cave conquests.,1,5,1,1,3
211,Construction Hints #1,0,0,0,3,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increase the number of facilities you can build at the same time.,1,6,1,1,0
212,Construction Hints #2,0,0,0,3,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increase the number of facilities you can build at the same time.,1,6,1,1,0
213,Construction Hints #3,0,0,0,3,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increase the number of facilities you can build at the same time.,1,6,1,1,0
214,Construction Hints #4,0,0,0,3,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increase the number of facilities you can build at the same time.,1,6,1,1,0
215,Construction Hints #5,0,0,0,3,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increase the number of facilities you can build at the same time.,1,6,1,1,0
216,Construction Hints #6,0,0,0,3,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increase the number of facilities you can build at the same time.,1,6,1,1,0
217,Construction Hints #7,0,0,0,3,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increase the number of facilities you can build at the same time.,1,6,1,1,0
218,Construction Hints #8,0,0,0,3,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increase the number of facilities you can build at the same time.,1,6,1,1,0
219,Construction Hints #9,0,0,0,3,0,1,3,15,5,1,,,,,,750,2,4,23,66,4,1,4,23,70,6,1,Increase the number of facilities you can build at the same time.,1,6,1,1,3
220,Construction Hints #10,0,0,0,3,0,2,3,15,8,1,4,91,219,1,1,750,2,4,23,66,4,1,4,23,70,7,1,Increase the number of facilities you can build at the same time.,1,6,1,1,3
221,Construction Hints #11,0,0,0,3,0,2,3,15,12,1,4,91,220,1,1,750,2,4,23,67,3,1,4,23,70,8,1,Increase the number of facilities you can build at the same time.,1,6,1,1,3
222,Construction Hints #12,0,0,0,3,0,2,3,15,16,1,4,91,221,1,1,750,2,4,23,67,3,1,4,23,70,9,1,Increase the number of facilities you can build at the same time.,1,6,1,1,3
223,Construction Hints #13,0,0,0,3,0,2,3,15,20,1,4,91,222,1,1,750,2,4,23,68,2,1,4,23,70,11,1,Increase the number of facilities you can build at the same time.,1,6,1,1,3
224,Construction Hints #14,0,0,0,3,0,2,3,15,24,1,4,91,223,1,1,750,2,4,23,68,2,1,4,23,70,12,1,Increase the number of facilities you can build at the same time.,1,6,1,1,3
225,Construction Hints #15,0,0,0,3,0,2,3,15,28,1,4,91,224,1,1,750,2,4,23,69,1,1,4,23,70,13,1,Increase the number of facilities you can build at the same time.,1,6,1,1,3
226,Construction Hints #16,0,0,0,3,0,2,3,15,32,1,4,91,225,1,1,750,2,4,23,69,1,1,4,23,70,14,1,Increase the number of facilities you can build at the same time.,1,6,1,1,3
227,Book of Awakening #6,0,0,0,4,1,2,3,15,999,1,3,100,1,1,,750,2,4,23,66,4,1,4,23,70,30,1,Increases all residents' Awakening Limit by 1.,1,3,1,1,3
