,,,,,,,,,,,,prices,,,,,,,,,,,,,,,,,,,,,
125,Crab,5,1,0,-1,25,4,5,7,5,1,2,2,25,25,Not used,Not used,2,18,50,75,2,16,35,0,-1,0,16,150,17,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
126,Squid,5,1,0,-1,25,6,5,8,5,1,2,3,25,20,Not used,Not used,2,19,55,82,2,25,38,0,-1,0,17,164,18,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
127,Octopus,5,1,0,-1,25,6,5,9,5,1,2,3,30,20,Not used,Not used,2,20,65,97,2,25,45,0,-1,0,20,194,20,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
128,Meat On The Bone,5,1,0,-1,-1,3,5,0,6,1,2,1,15,30,Not used,Not used,2,13,35,52,0,12,24,0,-1,0,6,52,17,0,131690,"visitor ok, price raise, android, ios, select town when get, transport food"
129,Cut of Meat,5,1,0,-1,-1,3,5,1,6,1,2,1,15,30,Not used,Not used,2,31,30,45,3,12,21,0,-1,0,5,45,15,0,131690,"visitor ok, price raise, android, ios, select town when get, transport food"
130,Spit Roast,5,1,0,-1,-1,4,5,2,6,1,2,2,20,25,Not used,Not used,2,32,40,60,1,16,28,0,-1,0,4,64,13,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
131,Marbled Beef,5,1,0,-1,-1,5,5,3,6,1,2,2,25,20,Not used,Not used,2,33,50,75,2,21,35,0,-1,0,5,125,15,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
132,Top-Grade Meat,5,1,0,-1,-1,6,5,4,6,1,2,3,25,20,Not used,Not used,2,34,50,75,4,12,35,0,-1,0,5,180,15,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
133,Veggie Juice,5,1,0,-1,10,2,5,5,6,1,2,1,10,40,Not used,Not used,2,15,20,30,0,8,14,5,-1,0,2,8,9,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
134,Mixed Fruit Juice,5,1,0,-1,10,3,5,6,6,1,2,1,15,30,Not used,Not used,2,15,35,52,0,12,24,5,-1,0,3,31,11,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
135,Milk,5,1,0,-1,10,4,5,7,6,1,2,2,25,25,Not used,Not used,2,15,50,75,0,16,35,5,-1,0,5,80,15,0,148202,"visitor ok, price raise, android, ios, craftable, select town when get, food, transport food"
136,Grape Juice,5,1,0,-1,10,5,5,8,6,1,2,2,30,20,Not used,Not used,2,15,65,97,0,21,45,5,-1,0,6,162,17,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
137,Fizzy Juice,5,1,0,-1,10,6,5,9,6,1,2,3,40,20,Not used,Not used,2,15,80,120,0,25,56,5,-1,0,8,288,21,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
138,Egg,5,1,0,-1,11,3,5,10,6,1,2,1,15,30,Not used,Not used,2,10,35,52,3,12,24,5,-1,0,3,31,11,0,148202,"visitor ok, price raise, android, ios, craftable, select town when get, food, transport food"
139,Cheese,5,1,0,-1,11,4,5,11,6,1,2,2,20,25,Not used,Not used,2,11,40,60,3,16,28,5,-1,0,4,64,13,0,148202,"visitor ok, price raise, android, ios, craftable, select town when get, food, transport food"
140,Bread,5,1,0,-1,11,2,5,0,7,1,2,1,5,40,Not used,Not used,2,31,15,22,3,8,10,5,-1,0,1,6,7,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
141,French Toast,5,1,0,-1,11,2,5,1,7,1,2,1,10,40,Not used,Not used,2,32,25,37,1,8,17,5,-1,0,2,10,9,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
142,Sliced Bread,5,1,0,-1,11,2,5,2,7,1,2,1,15,40,Not used,Not used,2,33,35,52,2,8,24,5,-1,0,3,14,11,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
143,Hamburger,5,1,0,-1,11,3,5,3,7,1,2,1,15,30,Not used,Not used,2,31,30,45,3,12,21,5,-1,0,3,27,11,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
144,Donut,5,1,0,-1,11,3,5,4,7,1,2,1,25,30,Not used,Not used,2,32,50,75,1,12,35,5,-1,0,5,45,15,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
145,Flan,5,1,0,-1,11,3,5,5,7,1,2,1,30,30,Not used,Not used,2,33,60,90,2,12,42,5,-1,0,6,54,17,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
146,Ice Cream,5,1,0,-1,11,4,5,6,7,1,2,2,40,25,Not used,Not used,2,31,80,120,3,16,56,5,-1,0,8,128,21,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
147,Cake,5,1,0,-1,11,4,5,7,7,1,2,2,60,25,Not used,Not used,2,32,120,180,1,16,84,5,-1,0,12,192,29,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
148,Kairo Cake,5,1,0,-1,11,6,5,8,7,1,2,3,175,20,Not used,Not used,2,34,350,525,4,12,245,5,-1,0,35,1260,75,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
149,Fried Potatoes,5,1,0,-1,11,4,5,9,7,1,2,2,30,25,Not used,Not used,2,31,60,90,3,16,42,5,-1,0,6,96,17,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
150,Sushi,5,1,0,-1,11,5,5,10,7,1,2,2,30,20,Not used,Not used,2,32,65,97,1,21,45,5,-1,0,6,162,17,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
151,Sashimi Platter,5,1,0,-1,11,5,5,11,7,1,2,2,35,20,Not used,Not used,2,33,70,105,2,21,49,5,-1,0,7,175,19,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
152,Vegetable Soup,5,1,0,-1,11,2,5,0,8,1,2,1,35,40,Not used,Not used,2,31,75,112,3,8,52,5,-1,0,7,30,19,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
153,Creamy Soup,5,1,0,-1,11,2,5,1,8,1,2,1,40,40,Not used,Not used,2,32,80,120,1,8,56,5,-1,0,8,32,21,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
154,Hearty Stew,5,1,0,-1,11,3,5,2,8,1,2,1,40,30,Not used,Not used,2,33,85,127,2,12,59,5,-1,0,8,76,21,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
155,Beef Stew,5,1,0,-1,11,3,5,3,8,1,2,1,45,30,Not used,Not used,2,31,90,135,3,12,63,5,-1,0,9,81,23,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
156,Paella,5,1,0,-1,11,4,5,4,8,1,2,2,45,25,Not used,Not used,2,31,95,142,3,16,66,5,-1,0,9,152,23,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
157,Pizza,5,1,0,-1,11,4,5,5,8,1,2,2,50,25,Not used,Not used,2,32,100,150,1,16,70,5,-1,0,10,160,25,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
158,Steak,5,1,0,-1,11,5,5,6,8,1,2,2,50,20,Not used,Not used,2,31,105,157,3,21,73,5,-1,0,10,262,25,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
159,Curry,5,1,0,-1,11,5,5,7,8,1,2,2,55,20,Not used,Not used,2,33,110,165,2,21,77,5,-1,0,11,275,27,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
160,Rice Omelet,5,1,0,-1,11,5,5,8,8,1,2,2,55,20,Not used,Not used,2,31,115,172,3,21,80,5,-1,0,11,287,27,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
161,Fried Noodles,5,1,0,-1,11,5,5,9,8,1,2,2,60,20,Not used,Not used,2,32,120,180,1,21,84,5,-1,0,12,300,29,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
162,Fried Rice,5,1,0,-1,11,5,5,10,8,1,2,2,60,20,Not used,Not used,2,33,125,187,2,21,87,5,-1,0,12,312,29,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
163,Pasta,5,1,0,-1,11,5,5,11,8,1,2,2,65,20,Not used,Not used,2,34,130,195,4,10,91,5,-1,0,13,325,31,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
164,Weapon Sample,5,1,0,-1,50,2,5,0,9,1,2,1,80,40,Not used,Not used,2,13,10,15,0,8,7,0,-1,0,21,200,44,0,262762,"visitor ok, price raise, android, ios, select town when get, transport except food"
165,Shield Sample,5,1,0,-1,50,2,5,1,9,1,2,1,80,40,Not used,Not used,2,14,10,15,1,8,7,0,-1,0,21,200,44,0,262762,"visitor ok, price raise, android, ios, select town when get, transport except food"
166,Armor Sample,5,1,0,-1,50,2,5,2,9,1,2,1,80,40,Not used,Not used,2,14,10,15,1,8,7,0,-1,0,21,200,44,0,262762,"visitor ok, price raise, android, ios, select town when get, transport except food"
167,Helmet Sample,5,1,0,-1,50,2,5,3,9,1,2,1,80,40,Not used,Not used,2,14,10,15,1,8,7,0,-1,0,21,200,44,0,262762,"visitor ok, price raise, android, ios, select town when get, transport except food"
168,Accessory Sample,5,1,0,-1,50,2,5,4,9,1,2,1,80,40,Not used,Not used,2,18,10,15,2,8,7,0,-1,0,21,200,44,0,262762,"visitor ok, price raise, android, ios, select town when get, transport except food"
169,Sage's Tome,5,1,0,-1,50,2,5,5,9,1,2,1,150,40,Not used,Not used,2,19,10,15,2,8,7,0,-1,0,21,200,44,0,262762,"visitor ok, price raise, android, ios, select town when get, transport except food"
170,Scroll of Knowledge,5,1,0,-1,50,2,5,6,9,1,2,1,150,40,Not used,Not used,2,22,10,15,2,8,7,0,-1,0,21,200,44,0,262762,"visitor ok, price raise, android, ios, select town when get, transport except food"
171,Kairo Cookie,5,1,0,-1,-1,6,5,7,9,1,2,3,200,20,Not used,Not used,2,34,400,600,4,12,280,30,-1,0,0,0,0,0,148074,"visitor ok, price raise, android, ios, select town when get, food, transport food"
172,Wairo Cookie,5,1,0,-1,-1,6,5,8,9,1,2,3,125,20,Not used,Not used,2,34,250,375,4,12,175,30,-1,0,0,0,0,0,148074,"visitor ok, price raise, android, ios, select town when get, food, transport food"
