盾	Shield
ﾌﾚﾝﾄﾞ <0>さん	Friend: <0>
<po=m><0>さんに<br>お礼を伝えました	You thanked <0>.
お礼を伝える	Thank the friend.
今回は何もしない	Not this time.
結果	Result
<0>ﾗﾝｸ	Rank <0>
フレンドのおかげですね	Where would we be without friends?
<0>を紹介してもらいました	Provided with <0>.
<0>回	<0>
紹介	Intro
所持数を確認	View Stock
で<0>回ひく	for <0> go(es)
<0>出現一覧	<0> probabilities
下記リストから抽選で出現	Selected at random from the following list:
<0> ランク	Rank <0>
確率<0>%	Rate: <0>%
S級出現中	S Rank Available
貿易センター	Trade Center
レアなものをゲットしましょう	This is your chance to pick up some rare finds!
ﾘｽﾄ	List
カイロの間	Kairo Room
<po=m>今日は開催してないよ。<br>違う日にまた来てね。	<po=m>We're not doing anything today.<br>Please try again later.
<0>限定	<0> only
ワイロダンジョン	Wairo Dungeon
ゲリラ出現	Surprise Encounter
難易度  <0>	Difficulty: <0>
報酬 <0>	Reward: <0>
ｸﾘｱ済	Completed
<po=m><bo=1e1e1e>ｼｪｱで</bo><br><pic=stamina><bo=1e1e1e>回復</bo>	<po=m>Share on <bo=1e1e1e> and get</bo><br><pic=stamina><bo=1e1e1e>!
ランク <0> ハイスコア	Rank <0> High Score
合計ポイント	Total Points:
さらなる高みを目指しましょう!	Aim for an even higher score!
ｽｺｱ	Score
<po=m>ランキング<br>登録	<po=m>Ranking<br>Registration
<po=m>シェア<br>する	Share
住居の方針	Housing
どのタイプの家にしましょう	Build what kind of house?
ﾗﾝｸ:<0>	Rank: <0>
継承中	Transferring
能力伝承中<0>	Imparting Stats<0>
<po=m>能力を受け継いで<br>パラメータが上昇した!	<po=m>It worked!<br>Stats have gone up!
<po=m>師匠<0>さんは<br>全ての役割を果たし<br>静かに去っていった	Instructor <0> fulfilled their duty and rode off into the sunset.
師匠の部屋	Instructor's Room
師匠から能力を引き継げます	Inherit Stats from Instructor
あと<0>回	<0> left
師匠を作成	Create an Instructor
街の選択	Select Town
アイテム取得	Give Items
どの街に与えますか	Give to which town?
アイテム倉庫	Item Storehouse
<po=m>鍛冶屋へようこそ<br>装備同士を組み合わせて強化できるよ	Welcome! I can strengthen your equipment.
どの装備を鍛えますか	Select equipment to upgrade.
<po=m>投入種類 : <0>/<1><br>投入数   : <2>/<3>	<po=m>Types used: <0>/<1><br>Amount: <2>/<3>
装備中	Equipped
女性用	Female-Only
扱えない	Can't upgrade
職業権利数	Approved Jobs:
街の住民が呼べる時に使用できます	Used when calling town residents
所持x	Owned: x
選べません	Can't use this.
なし	None
<0>級	Grade <0>
<0>ランク	Rank <0>
現在、販売品はありません。	No products at the moment.
再入荷 +<0>	Restock +<0>
ﾌﾟﾚｲ時間	Time Played
平和度	Peace Level
王様ランクアップ!	Royal Rank Up!
見張りの設定	Lookout Settings
見張りを設定して防衛に専念します	Select a lookout to improve the town's defenses.
蓄えていた資源が半減した…	Half of the materials stored away were lost...
冒険キングダム島	Kingdom Adventurers
 体験版	not use
結婚	Marriage
教会	Church
どなたが結婚しますか	Who do you want to marry?
同じ部屋に住むと親密度がアップします	Living in the the same room will increase affection.
親密度が高いと費用が下がります	Residents with higher affection consume less resources.
<po=m>アイテム倉庫に<br><0>を<1>個しまった	<po=m>Stored <0> x<1><br>in the Item Storehouse.
素材ショップ	Material Shop
<po=m><0>のある街を選んでから<br><1>を選んでください。	Select a town with <0> and <1>.
購入する素材	materials to purchase
残り<0>	<0> Left
所持 <0>	Owned: <0>
ﾊﾞﾄﾙﾗﾝｸ : <0>	Battle Rank: <0>
鉱山作業者の設定	Miner Settings
鉱山で資源を採掘しましょう	Collect resources from the mine.
今日のミッション	Daily Challenge
現在、ミッションはありません	No Challenges
<po=m>達成で <0> <co=2020f0><1></co> もらえる!	Complete to get <0> <1>!
あと <0>件	<0> More
〆切 あと<0>	Time Left: <0>
本日のミッション達成済み	Daily Challenge Complete
<po=m>誕生!<br><0>	<po=m>A New Arrival!<br><0>
中身予想	Egg Forecast
<po=m>リストの中のいずれかの<br>モンスターが生まれそうです	One of these monsters might hatch.
モンスター牧場 <0>/<1>	Monster Farm <0>/<1>
預かっているモンスターはいません	No monsters at the moment.
ﾓﾝｽﾀｰ合成	Monster Fusion
合成するﾓﾝｽﾀｰを選んでください	Select monsters to fuse.
育てるﾓﾝｽﾀｰ	Monster to Upgrade
素材モンスター	Monsters to Use as Materials
モンスターから経験値をもらいます	Get EXP from Monsters
合成する	Fuse
モンスター図鑑	Monsterpedia
<0>体	Total: <0>
ﾓﾝｽﾀｰ屋	Monster Shop
ﾓﾝｽﾀｰ	Monsters
ニューゲーム	New Game
キャラクタの作成	Create Character
国王の名前:	Monarch Name:
性別も選んでくださいね	Choose gender
建国開始	Found Kingdom
新しい仲間	New Ally
名前を変える	Change Name
採用!	Hire!
誰を仲間にしますか	Select who to recruit.
<0>人目	Total: <0>
職業を探す	Search for Jobs
権利	Rights
まだ発見されていません	None discovered.
仲間にする	Add to Allies
新しいタウンホール	New Town Hall
街に名前をつけましょう	Time to give this town a name.
名前:	Name:
街の名前を付ける	Name the town
覚醒!!	Awakened!
<0>回目	#<0>
レベルの上限 <0>UP!	Max Level +<0>!
おめでとう！	Congratulations!
<0> 入手	<0> acquired
<0>人追加	Townsfolk +<0>
引越し屋	Movers
他の街に引越したい住民を選んでください	Choose a resident to move to another town.
<po=m>引越し屋 +<0>個拡張<br><pic=money><1>	<po=m>Mover +<0> Expansion(s)<br><pic=money><1>
研究者の設定	Researcher Settings
研究ｽｷﾙを持った人を担当させましょう。	Let's put some people with Research skills in charge of this.
研究室からのお知らせ	Research Notice
お、できた!	It's complete!
担当者: <0>/<1>	Assigned: <0>/<1>
未発見	Undiscovered
発見条件	Required for Discovery
研究 復活まで	Research Recovery Time:
担当選択	Select Leader
覚醒 <0>回	Awakenings: <0>
仲間にｽﾜｲﾌﾟして与えましょう	Swipe your allies to assign.
あと<0>人	<0> more
該当する住民がいません…	No applicable residents.
全員再開	Resume All
誰を派遣しましょう	Select who to deploy
<po=m>現在<0>人が<br>ここに派遣されています	Currently deployed: <0>
<po=m>討伐ﾒﾝﾊﾞｰを最大<0>人<br>選んで下さい	Choose up to <0> team members.
<po=m>誰が受け継ぎますか<br>※1人<0>回のみ	<po=m>Who will inherit?<br>Max <0> per person.
異なる街のﾒﾝﾊﾞｰを選択する事は出来ません。	Members must be from the same town.
<po=m>出場ﾒﾝﾊﾞｰを最大<0>人<br>選んで下さい	Choose up to <0> participants.
<po=m>引越し予定者を<br>選んでください	Choose a resident to move.
<po=m>装備を変更する住民を<br>選んで下さい	Choose an adventurer to change equipment.
攻	Attack
出撃不可	Cannot depart.
受け継ぎ回数	Times inherited:
すでに家があります	Already has a house.
寿命	Lifespan
∞	∞
覚醒	Awakening
空ｽﾛｯﾄ	Empty Slot
ソート条件	Sort By
ソート設定	Sort Settings
条件<0>	Reqs. <0>
<po=m>並び順を設定できます。<br>上の条件から優先されます。	<po=m>Choose a sorting method.<br>The top requirements are prioritized.
親密トップ3	Affection Top 3
準備中	Prepping...
家主のみ親密度があがります	Only the Household Head's affection will increase.
子供<0>人目	Kid <0>
他の島にいきました	On another island
<0>使用	Use: <0>
登録キャラ選択	Select Characters to Register
使用する	Use
お別れ	Dismiss
受け継ぐ	Inherit
師匠にする	Appoint as Instructor
仲間ﾒﾆｭｰ	Allies Menu
結婚相手	Marriage Partner
いなくなりました	Gone.
2世は結婚できません	Second generation can't marry.
まだいません	None yet.
調査完了	Survey Complete
ただいま	I'm back!
<po=m><0>さん<br>調査から帰ってきました	<0> returned from their survey.
<po=m>寿命+<0><br><br><pic=money><1>	<po=m>Lifespan +<0><br><br><pic=money><1>
あきらめる	Give Up
<0>は復活した!	<0> was revived!
街にあるお店	Stores in Town
どのお店に行きますか	Go to which store?
何を設定しますか	Set skill to:
空スロット	Empty Slot
発動率	Activation Rate
技の変更 <0>/<1>	Skill Changes: <0>/<1>
技を設定しよう	Set skills.
技を選んで下さい	Select skills.
空き <0>枠	Free slots: <0>
人里離れた民家	Residents outside town
今リセットすると本日分がなくなります。	If you reset now you will lose today's share.
次のスロットまで あと<0>日ログイン	Log in on <0> more day(s) for the next slot.
またきてね。	Please come again.
プレゼントをもらう	Get Gifts
いい押しっぷりです!	Nice work!
お見事です!	Wonderful!
次は期待してください	Better luck next time.
応援してます!	Good luck!
ﾄﾞｷﾄﾞｷ	Oh my, oh my!
すごいですね!	That's amazing!
ストップ	Stop
建国開始!	Everything starts here!
がんばります!	I'll do my best!
調査の結果	Survey Result
<0>さん帰還	Recall <0>
調査する	Survey
計<0>分	Total: <0> min
街のお店	Town Stores
宝箱の中身は…	Looked inside the Treasure Chest...
さらに宝箱の中に…	There's something else in there...
<0>の権利が<1>回入っていた!	Got <0> rights x<1>!
<0>が<1>個入っていた!	Got <0> x<1>!
王国がさらに発展しそうですね	The kingdom can develop even more.
お試しフレンド屋	Friends Agency
<0>人紹介	New people introduced: <0>
あと<0>回 無料	x<0> more for free
<po=m>フレンドになれるかもしれない<br>プレイヤーを紹介するよ	Let's take a look at some other players you could add as friends.
トロフィ	Trophy
副賞を受け取った	Received an extra reward.
現在:<0>	Current: <0>
入手!	Acquired!
秘宝の購入	Purchase Treasure
購入する	Purchase
幻の秘宝 <0>種	Mystic Treasure: <0>
幻の秘宝を手に入れる <0>種	Available Mystic Treasure: <0>
現在、秘宝はありません。	No treasure.
<po=m><bo=1e1e1e>全エリア制覇<br>おめでとう!</bo>	<po=m><bo=1e1e1e>All areas conquered!<br>Congratulations!</bo>
職業紹介	Job Spotlight
装備紹介	Equipment Spotlight
施設紹介	Facility Spotlight
アイテム紹介	Item Spotlight
フレンドボーナス	Friend Bonus
現在地点に派遣中の住民	Adventurers deployed:
<po=m><0><br>限定	<0>-only
<po=m><0>級以上<br><1><br>限定	<po=m>Rank <0>+<br><1>-only
登録中	Registering...
現在開催されている討伐キャンペーンはありません。	No conquest events in progress.
<po=m>情報の取得に失敗しました。<br>再度ショップを開いてください。	<po=m>Failed to get data.<br>Please reopen the Shop and try again.
施設の情報	Facility Info
<0>が使えるようになった!!	<0> is now available!
<0> +<1> <2> になった	<0> +<1>. Total: <2>
～利用時の効果が高まった～	Effect Up!
ｴﾅｼﾞｰの発掘量が増えた	Mined Energy increased.
～船からのお客さんが増えそうだ～	Reel in some new visitors from the ships!
工房の作成内容が向上した	Workshop lineup was improved!
世界の平和度	Peace Level
敵討伐数	Enemies Vanquished
全ポイント合計	Total Points
住民の合計能力	Total Resident Stats
街のランク	Town Rank
住民数	Residents
装備品発見数	Discovered Equipment
アイテム発見数	Discovered Items
家具発見数	Discovered Furniture
ﾗﾝｸ <0>	Rank <0>
施設の数	Facilities
土地の数	Land Plots
仲間の人数	Allies
発見した技	Discovered Skills
最高街ランク	Top Town Rank
街の名前1	Town Name 1
住民一覧	Resident List
王国の情報	Kingdom Info
秘宝	Treasure
名前変更	Change Name
チャット	Chat
サイトへ	Go to Site
ﾓﾝｽﾀｰ図鑑	Monsterpedia
ゲーム終了	End Game
施設にモンスターがいません	No monsters here.
惜しくも失敗!	Too bad, it failed!
ダイヤを消費しませんでした	Diamonds weren't spent.
<po=m>時間短縮にダイヤ<0>個<br>消費しますか？	<po=m>Use <0> Diamond(s)<br>to shorten the time?
達成済	Complete
現在	Current
挑戦中	In progress
可能性<0><1>	Possibility: <0><1>
<po=m>モンスター牧場<br>+<0>個拡張<br><pic=money><1>	<po=m>Monster Farm Expansion<br>+<0><br><pic=money><1>
討伐数	Vanquished
初	First
街に<0>人	Townsfolk: <0>
ロックしました	Locked.
ロック解除しました	Unlocked.
<po=m>ランクの高い装備です<br>消費しますか?	<po=m>This is high rank equipment.<br>Are you sure you want to use it as materials?
上限に達しています	Level limit reached.
装備を変更しました	Changed equipment.
スキルを変更しました	Changed skill.
<po=m>対戦相手が見つかりませんでした。<br>時間をおいてお試しください	<po=m>No opponents found.<br>Please try again later.
子供の名前	Child's Name
住民の名前	Resident Name
(全角<0>文字)	(<0>-character limit)
街の名前	Town Name
お宝ｹﾞｯﾄ!	Got treasure!
<0> で獲得しますか	Collect with <0>?
調査失敗!	Survey failed!
+<0>分	+<0> min
確率 <0>%	Rate: <0>%
分	mins 
秒	secs
あと<0><1>で調査可能	<0> <1> more until next survey.
レベル上限に達しています	Max level reached.
初期スキルは変更できません	Cannot change basic skills.
<po=m><0> <1>を<br>装備しました。	Equipped <0> <1>.
技装備枠を追加しますか?	Add Skill Slots?
技装備枠を <0>つ追加しました。	Skill Slots +<0>.
初期スキルは外せません	Cannot remove basic skills.
出場メンバーを選択してください	Choose competitors.
順位ボーナス	Rank Bonus
現在のポイントを登録しますか?	Register your current score?
<po=m>登録しました。<br>結果は明日発表されます	<po=m>Registration complete.<br>Results will be posted tomorrow.
<po=m><0>を<1>枚入手<br>計<2>枚になった	<po=m>Got <0> x<1>.<br>Total: <2>
銅貨	Copper Coin
街に銅貨箱がありません	No Copper Coin Box in town.
<po=m>これ以降<br>表示しませんか?	Hide the following?
<0>に空きがありません。	No space in <0>.
金貨箱	Gold Coin Box
金貨	Gold Coin
いいえ\t塞ぐ	No\tLock Up
あと<0>で帰宅します	Returning in <0>.
<0>で短縮	Spend <0> to speed up?
<po=m>キャンセルしますか?<br><co=d94646>※親密度は上がりません	<po=m>Cancel?<br>Affection will not increase.
デート	Date
ﾃﾞｰﾄｽﾎﾟｯﾄ	Date Spot
いってきます!	Here we go!
<po=m><0>さん達<br><1>先に出発します!	<po=m><0>'s team<br>departed for <1>!
大人までの成長	Growth Into Adulthood
投入数が最大を超えています	That will exceed the limit.
<po=m>アイテムの投入が完了していませんが<br>戻りますか	Leave without finishing choosing items to use as materials?
<po=m><0>を1つ入手<br>計<1>個になった	<po=m>Got <0> x1.<br>Total: <1>
<po=m><0>を<1>個<br>消費してロックを解除します<br>所持数<2>個になります	<po=m>Use <0> x<1><br>to unlock?<br>You'll have <2> left.
<po=m><0>を<1>個<br>消費してロックを解除します	<po=m>Use <0> x<1><br>to unlock?
あと<0>分で選べます	Can be selected after <0> more minutes.
<po=m><0>が不足しています。<br>最大まで回復します	<po=m>Not enough <0>.<br>Fully replenish?
<0>が不足しています	Not enough <0>.
最大人数に達しています	Maximum number of members reached.
<po=m>費用が足りません。<br><0><1>個でお礼しますか?	<po=m>Insufficient funds.<br>Send <0> x<1> as thanks?
いいえ\t<pic=money><0>	No\t<pic=money><0>
<po=m>ハイスコア更新!<br><0>pt	<po=m>New hi-score!<br><0> pts
<po=m>アイテムを<br>使用しますか?	Use this item?
<po=m>食べ物のアイテムを<br>仲間に使用しますか?	Use item on ally?
<po=m>装備を<br>仲間に渡しますか?	Give equipment to ally?
<po=m>技を<br>仲間に渡しますか?	Give skill to ally?
使う\t戻る	Use\tCancel
投入数が最大です	Can't use any more.
投入種類が最大です	Can't use any more types.
<po=m><0> <1>回を<br>再入荷しました	Restocked <0> x<1>.
<po=m><0><br>が足りません	Not enough <0>.
倉庫の空きがないため追加できませんでした。	No free space in the Storehouse.
牧場が満員です。	The farm is full.
<po=m><0>を購入して<br>モンスター牧場へ預けました	Purchased <0> and sent it to the Monster Farm.
国王の名前	Monarch Name
<po=m>ダイヤ<0>個<br>消費しますか？	Use <0> Diamond(s)?
いいえ\t + <po=lm><pic=money><0>&<po=rm><bo=fefefe><1></bo>	No\t+<po=lm><pic=money><0>&<po=rm><bo=fefefe><1></bo>
使用	Use
資源を投入して下さい	Insert Materials
研究所が動作しません	Cannot use Research Lab.
<po=m><0>を<br>すぐに復活します	<po=m>Revive<br><0>?
<po=m><0>さんに<br><1>さんの<br>経験値を引き継ぎます	<po=m>Transfer <1>'s EXP to<br><0>?
<po=m><0>の派遣を<br>全員再開します<br><pic=stamina> <1>/<2>	<po=m>Resume all of <0>'s expeditions?<br><pic=stamina>: <1>/<2>
再開	Resume
派遣中の人を全員帰還させます	Make all adventurers return to town?
戻る\t帰還する	Cancel\tRetreat
<po=m><0>さんと<br>お別れします<br><co=d94646>※戻ってこれなくなります	<po=m>Dismiss <0>?<br>They won't come back.
設定しました	Set.
<po=m><0>さんと<br>お別れします	Say goodbye to <0>?
セーブに失敗しました【<0>】<1>	Save failed: <0> <1>.
<po=m>街からいなくなる際に<br>装備中の技は消滅します。<br>※技の入替えは可能です。	<po=m>Equipped skills will be lost when the character disappears from the town.<br>Skills can be swapped.
<po=m><0> を使用して<br>報酬を獲得しますか?	<po=m>Use <0><br>and collect your rewards?
動画を見る\t閉じる	View videos\tClose
<0> を倉庫に入れました。	Sent <0> to the Storehouse.
<po=m><0> を購入しました。<br>現在 <1>個	<po=m>Purchased <0>.<br>Current: <1>
購入\t戻る	Purchase\tBack
<po=m><0><1>個で<br><2>を購入します	<po=m>Spend <0> x<1><br>to buy <2>
王国へ戻りますか?	Return to the kingdom?
耐久	Durability
敵が定期的に出現する	Enemies appear at set times.
利用者 <0>	User: <0>
満タン <0>	Max <0>
ミッション達成!	Challenge Complete!
報酬を受取	Collect Rewards
<po=m><co=ff0000><0></co>が<br>攻め込まれています!	<po=m><0><br>is under attack!
マイページ	Your Profile
再ログイン	Re-log
リセット	Reset
退会	Leave
カイロアカウント	Kairo Account
ログイン中	Logged in
退会しました。	Left.
毎日	Every day
日曜日	Sunday
月曜日	Monday
火曜日	Tuesday
水曜日	Wednesday
木曜日	Thursday
金曜日	Friday
土曜日	Saturday
億	0,000G
街に帰還しました…	Retreated back to town...
投資計画書	not use
<0>が足りないようです。	You need more <0>.
TAPJOY\tショップ	Tapjoy\tShop
時間	hrs 
個	　
<po=m>起動できません。<br>権限：ストレージを許可して起動し直してください。<br>※ゲームの保存に必要となります。	<po=m>Could not start the app.<br>Enable storage access and start the app again.<br>*Necessary to save game data.
<po=m>エラーが発生しました<br>問題解決の為にエラー情報を送信して頂けませんか？<br>（※個人情報は送信されません）	<po=m>An error has occurred. Would you please send the error information to aid in solving the issue?<br>(*No personal information will be sent.)
草	Grass
木	Wood
食糧	Food
鉄	Ore
魔石	Mystic Ore
エナジー	Energy
宝箱	Treasure Chest
卵	Egg
元気	Vigor
早さ	SPD
運	LUCK
頭脳	INT
器用	DEX
採集	Gather
移動	Move
ﾊｰﾄ	Heart
生命力	Life
エナジー貯蔵量	Stored Energy:
利用回数	Times Used
銀貨	Silver Coin
継承数	Transfers:
ｺｲﾝ	Coin
食	Food
魔	MAG
ｽﾀﾐﾅ	Stamina
宝	Treasure
元	VIG
防	DEF
早	SPD
器	DEX
採	Gather
移	Move
愛	Aff.
ｽﾀﾐﾅ貯蔵	Stamina Stock
埋蔵	Bury
利用	Use
金	Gold
銀	Silver
銅	Bronze
継承	Transfer
攻的	ATK
守的	DEF
平均	Average
土地の移動	Move Land
土地の撤去	Demolish Land
住民リスト	Residents
玄関を増やす	Add an Entrance
セーブ開始	Save
ﾀﾞｲﾔ|個|個ｾｯﾄ	Diamonds:| | Set
データが更新されました。	Data updated successfully.
購入が正常に完了しませんでした。	The server is undergoing maintenance.
サーバーメンテナンス中です。	not use
<po=m>サーバーメンテナンス中です。<br><br>時間を置いてから<br>以下の方法で商品が届きます。<br><br>・購入履歴から復元<br>・アプリ再起動	<po=m>The server is undergoing maintenance.<br><br>To receive your purchased items, wait a short time and then restart the app or recover the items from purchase history.
存在しないサービスID:<0>	not use
その他	Other
ﾘｶﾊﾞﾘ	Recover Data
引継	Transfer Data
ｲﾝｽﾄｰﾙﾎﾞｰﾅｽ	Installation Bonus
ｻﾎﾟｰﾄ	Support
通知	Notifications
購入の注意点	Before You Buy
ダイヤ|個	Diamonds:|
<0><1>個	<0> x<1>
<0> <1>回	<0> x<1>
ﾌﾟﾚｲ時間 +<0>分	Time played: +<0> min
<po=m>ﾌﾟｯｼｭ通知により<br>ﾎﾞｰﾅｽが届きました	You got a push notification bonus.
過去の購入履歴	Purchase History
現在の購入状態	Purchase Status
通信を許可し電波を確認して再起動してください。	Enable wireless communication and ensure you are connected to the internet, then restart the app.
おまかせロック等をご利用の方は解除をご確認ください。	not use
ｷｯｽﾞiﾓｰﾄﾞﾌｨﾙﾀ設定中は一部機能がご利用頂けません。	not use
読込中	Loading
時刻取得中	Syncing Time...
まもなく到着します	We will be arriving soon
～ひつじさんのヒント日誌～	Tips 'n' Tricks
フレンド申請を送ります	Send a friend request.
申請する\tやめる	Send\tCancel
フレンド申請がありました!	New friend request!
承認する\t拒否する	Accept\tDecline
ﾆｯｸﾈｰﾑ 	Nickname
フレンドのID 	Friend ID
<po=m>フレンドが<br>見つかりませんでした。&入力内容を確認してください。	<po=m>No friends found.<br>&Please double-check the info entered.
<po=m>ちなみに<co=ff0000>アプリは削除しないで</co>下さいね。削除するとフレンドが全部消えて戻せなくなってしまいます。	<po=m>By the way, <co=ff0000>don't delete this app</co> or all of your friend data will be lost for good.
申請リスト	Requests
フレンド郵便局	Friend Post Office
ｷｬﾗ登録	Register Character
ボーナスまであと <0>人	<0> more until bonus.
ともだちを探して申請しよう	Search for new friends.
申請 <0>件	Requests: <0>
見る	View
<po=m>カイロランドの<br>フレンドから探す	Search Kairo Land Friends
自分のキャラを確認	View Your Character
どちらにしましょう	Pick one
ゲームの前に…	Before you play...
利用規約を確認する	View Terms of Service
ﾆｯｸﾈｰﾑを入力	Enter Nickname
※あとで変更可	*Can be changed later
規約に同意して	Accept Terms
滞在中	Staying
探す	Search
<po=m>全国に散らばるユーザーを<br>フレンドとして最大<0>人まで<br>登録できます。<br>フレンドの合計ﾌﾟﾚｲ時間に<br>よって起動時にボーナスが<br>入ります。IDを聞いて友達<br>に申請してみましょう。	<po=m>You can register up to <0> friends from around the world.<br>You'll get a bonus based on your friends' total play time when you start up the game.<br>Ask friends for their IDs to send them friend requests.
<po=m>全国のユーザー達とフレンドになると<br>ともに助け合うことができます。<br><br>まずは自分のキャラを登録しましょう	<po=m>Adding friends will allow you to help out other players in their games.<br><br>Start by registering your character.
<po=m>設定していたキャラクターがいなくなりました。<br>あたらしく設定してください	<po=m>Your registered character has been lost.<br>Please set a new character.
相手が上限の場合もあります	Keep in mind the other player might have reached the maximum number of friends.
, % \" は利用できません	You cannot use , % \ "
ゲームデータの移行を始めます	Start transfer of game data.
データ受信	Recieve Data
ｺｰﾄﾞ入力	Enter Code
<po=m>最終更新[<0>]<br>カイロアカウントに紐づいたデータが見つかりました。<br>このデータで復元しますか?	<po=m>Latest Version: <0><br>Could not find data linked to your Kairo Account.<br>Restore using this data?
ﾃﾞｰﾀｺｰﾄﾞを入力して下さい	Enter a data code.
ﾃﾞｰﾀｺｰﾄﾞ	data code
<po=m><co=3c64c8>◆ ゲームデータの移行方法 ◆	<po=m><co=3c64c8>◆Transferring Game Data◆
異なるプラットフォーム	other platform
<po=m>① 現在プレイしている端末で<br>「ゲームデータを送る」を選び、<br>表示されるデータコードをメモします。<br><br>② 移行先の端末でアプリを起動し<br>「ゲームデータを受け取る」を選び、<br>パスワードを入力してダウンロードします。<br><br><co=ff4000>データコードの有効期限は1週間です<br>移行元の端末ではプレイ出来なくなります<br><0>から<1>へのデータ移行は出来ません	<po=m>1. Select Send Game Data on your current device and make a note of the displayed data code.<br>2. Start up the app on the device you want to transfer your data to, select Receive Game Data, enter your password and download the data.<br><co=ff4000><br>Data codes are valid for 1 week. After transfer, your will no longer be able to play the game on the old device.<br>Data from <0> to <1>, or can not data migration of different to the language version of the app
ゲームデータを送る	Send Game Data
ゲームデータを受け取る	Receive Game Data
<po=m>データの移行が完了しました。<br>アプリを再起動して下さい	<po=m>Data transfer complete.<br>Please restart the app.
<0> <1>個	<0> x<1>
<po=m>カレンシーセールが<br>始まりました！	Currency sales has started !
この後、オファーウォールが表示されるよ	After this, the offer wall will be displayed,
<po=m>Tapjoyの機能をご利用する際には<br>追跡型広告制限を解除し、アプリを再起動してください。<br>設定アプリ > プライバシー > 広告 > 追跡型広告制限	<po=m>How to use TapJoy<br>- Terminate "Limit Ad Tracking" and restart the game.<br>* Setting app > Privacy > Advertising > Limit Ad Tracking
フレンド申請 冒険キングダム島	Kingdom Adventurers Friend Request
<po=m>冒険キングダム島 で<br>フレンド申請したよ!<br>承認してね。	Let's be friends in Kingdom Adventurers!
<po=m>冒険キングダム島 をインストールして<br>フレンドで<br>ID：「<0>」<br>を探してね。<br><br>DLはこっちだよ<br>	Install Kingdom Adventurers and search for my ID:<0> under "Friends."\nDownload the game here!\n
フレンド申請 お住まい夢物語	not use
<po=m>お住まい夢物語for Androidで<br>フレンド申請したよ!<br>承認してね。	not use
<po=m>お住まい夢物語for Androidをインストールして<br>フレンドで<br>ID：「<0>」<br>を探してね。<br><br>DLはこっちだよ<br>	<po=m>Check out Dream House Days for Android and add me to your friends!<br>My Friend ID: <0><br><br>Get the game here!
0&メッセージ&ダイヤを<0>もらいました&<0>	0&Message&You got <0> Diamond(s)&<0>
<po=m>移行先の端末を起動して、<br>ﾃﾞｰﾀｺｰﾄﾞを入力してください。<br><br>ﾃﾞｰﾀｺｰﾄﾞ『<co=ffff00><0></co>』	<po=m>Start up the device you want to transfer data to and enter the data code.<br><br>Data code: <0>
<po=m>データの移行が完了しました。<br>こちらのアプリは削除して下さい。<br>ﾃﾞｰﾀｺｰﾄﾞ『<0>』	<po=m>Data transfer complete. Please delete this app.<br>Data code: <0>
データ移行を中止します	Cancel data transfer.
フレンドガチャ	Friend Picker
期日	Deadline
<0> で実行します	Run with <0>
ﾊｲｽｺｱ	High Score
HP	HP
MP	MP
ON	ON
OFF	OFF
Lv.<0>	Lv.<0>
Lv<0>	Lv<0>
Lv.<0>/<1>	Lv.<0>/<1>
MP <0>	MP <0>
Lv	Lv
GET	GET
<0>pt	<0>pt
EXP	EXP
<0>UP!	<0
